GeoID,FD_num_2010,FD_pct_2010
1001,18428,33.77
1003,35211,19.32
1005,5722,20.84
1007,1045,4.56
1009,1548,2.70
1011,4090,37.47
1013,1308,6.24
1015,30901,26.06
1017,6748,19.72
1019,79,0.31
1021,1457,3.34
1023,2612,18.85
1025,5061,19.59
1027,743,5.33
1029,147,0.98
1031,11395,22.81
1033,9520,17.49
1035,3726,28.17
1037,2837,24.59
1039,3334,8.83
1041,5384,38.72
1043,6295,7.83
1045,13847,27.56
1047,7786,17.77
1049,2680,3.77
1051,15012,18.93
1053,5189,13.54
1055,24779,23.73
1057,438,2.54
1059,3074,9.70
1061,606,2.26
1063,3287,36.34
1065,87,0.55
1067,386,2.23
1069,21404,21.08
1071,4855,9.12
1073,209261,31.78
1075,92,0.63
1077,14584,15.73
1079,1349,3.93
1081,43795,31.23
1083,10137,12.25
1085,5503,48.70
1087,7506,34.99
1089,110052,32.87
1091,5587,26.57
1093,538,1.75
1095,12814,13.78
1097,112774,27.31
1099,7149,30.99
1101,64260,28.02
1103,14010,11.72
1105,972,9.17
1107,851,4.31
1109,3733,11.35
1111,1061,4.63
1113,8512,16.08
1115,3744,4.48
1117,52014,26.66
1119,2224,16.16
1121,12352,15.01
1123,4598,11.05
1125,39478,20.28
1127,7530,11.23
1129,1708,9.72
1131,5173,44.33
1133,1011,4.13
2013,1226,39.03
2016,764,13.75
2020,87979,30.15
2050,13273,78.01
2060,434,43.54
2068,1826,100.00
2070,1579,32.57
2090,36249,37.15
2100,519,20.70
2105,1695,78.83
2110,10138,32.42
2122,11290,20.38
2130,1036,7.69
2150,1416,10.42
2164,1631,100.00
2170,20436,22.96
2180,5066,53.37
2185,3629,38.48
2188,4322,57.45
2195,183,4.81
2198,1391,25.01
2220,1617,18.21
2230,3,0.31
2240,2043,29.07
2261,2694,27.95
2270,4955,66.43
2275,511,21.55
2282,3,0.38
2290,5588,100.00
4001,46747,65.36
4003,51625,39.30
4005,40657,30.25
4007,12811,23.90
4009,11663,31.33
4011,5957,70.61
4012,8878,43.33
4013,492281,12.90
4015,88374,44.15
4017,35575,33.11
4019,232208,23.69
4021,65190,17.35
4023,13052,27.52
4025,70248,33.29
4027,43753,22.35
5001,4198,22.07
5003,4342,19.87
5005,4980,12.00
5007,43591,19.69
5009,11075,30.01
5011,1255,10.90
5013,3508,65.34
5015,2359,8.60
5017,602,5.10
5019,2102,9.14
5021,1676,10.42
5023,3546,13.66
5025,2129,24.50
5027,4406,17.95
5029,4502,21.16
5031,24130,25.02
5033,13071,21.10
5035,6121,12.03
5037,2947,16.49
5039,1526,18.81
5041,3930,30.21
5043,3526,19.05
5045,28689,25.34
5047,1894,10.45
5049,2320,18.95
5051,30262,31.52
5053,2120,11.88
5055,9286,22.06
5057,5535,24.48
5059,6021,18.29
5061,2028,14.71
5063,6847,18.68
5065,810,5.92
5067,2483,13.79
5069,13186,17.03
5071,2319,9.08
5073,1614,21.11
5075,4397,25.25
5077,3276,31.42
5079,4853,34.33
5081,863,6.55
5083,3074,13.75
5085,13017,19.04
5087,4104,26.11
5089,2255,13.54
5091,10974,25.25
5093,6002,12.91
5095,1020,12.52
5097,2235,23.55
5099,2374,26.38
5101,2940,35.29
5103,7349,28.13
5105,1108,10.60
5107,8042,36.96
5109,2201,19.49
5111,2797,11.38
5113,7612,36.84
5115,8744,14.16
5117,535,6.14
5119,116978,30.56
5121,5510,30.66
5123,8547,30.24
5125,24019,22.42
5127,2004,17.84
5129,2726,33.26
5131,17987,14.30
5133,5789,33.93
5135,3570,20.68
5137,3035,24.49
5139,9035,21.70
5141,2223,12.86
5143,40441,19.92
5145,11024,14.30
5147,387,5.33
5149,1670,7.53
6001,160425,10.62
6003,653,55.54
6005,4760,12.50
6007,48749,22.16
6009,3907,8.57
6011,1771,8.27
6013,206022,19.64
6015,7755,27.11
6017,50566,27.93
6019,113632,12.21
