GeoID,County,State,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop_2015,D_Cap,G_Cap,FD_num_2015,FD_pct_2015
1001,Autauga County,Alabama,2015,11,93,1703,5,283,5691,55035,5003,11007,17497,32.06
1003,Baldwin County,Alabama,2015,50,429,7054,30,1774,36515,203690,4073,6789,30561,16.77
1005,Barbour County,Alabama,2015,8,60,844,4,159,2733,26270,3283,6567,6070,22.11
1007,Bibb County,Alabama,2015,5,40,596,5,111,2497,22561,4512,4512,969,4.23
1015,Calhoun County,Alabama,2015,34,263,4461,29,832,15066,115285,3390,3975,27786,23.43
1017,Chambers County,Alabama,2015,10,72,1020,7,225,3736,34043,3404,4863,7132,20.84
1019,Cherokee County,Alabama,2015,9,54,794,5,98,1727,25726,2858,5145,104,0.4
1021,Chilton County,Alabama,2015,9,74,1066,7,179,3820,43809,4867,6258,1470,3.37
1025,Clarke County,Alabama,2015,14,131,1866,6,290,4709,24726,1766,4121,5713,22.11
1027,Clay County,Alabama,2015,5,36,534,3,103,1440,13495,2699,4498,643,4.61
1031,Coffee County,Alabama,2015,13,113,1696,6,266,5752,51063,3927,8510,10486,20.99
1033,Colbert County,Alabama,2015,16,116,1863,8,340,4763,54295,3393,6786,11096,20.39
1039,Covington County,Alabama,2015,13,102,1392,6,300,5120,37661,2897,6276,3769,9.98
1043,Cullman County,Alabama,2015,25,204,3371,17,621,10088,81858,3274,4815,5900,7.34
1045,Dale County,Alabama,2015,13,112,1575,6,106,2169,49370,3797,8228,14037,27.93
1047,Dallas County,Alabama,2015,14,119,1566,8,253,4960,40893,2920,5111,7640,17.44
1049,DeKalb County,Alabama,2015,17,141,2240,14,326,5161,70996,4176,5071,2680,3.77
1051,Elmore County,Alabama,2015,18,137,2200,8,293,5800,81238,4513,10154,15064,19.0
1053,Escambia County,Alabama,2015,15,209,2062,4,177,2949,37827,2521,9456,5059,13.2
1055,Etowah County,Alabama,2015,28,272,4093,14,462,9013,102873,3674,7348,23290,22.3
1059,Franklin County,Alabama,2015,7,74,1012,9,195,3196,31542,4506,3504,3663,11.56
1061,Geneva County,Alabama,2015,8,60,1086,10,273,4052,26755,3344,2675,605,2.26
1067,Henry County,Alabama,2015,4,35,554,3,85,1158,17191,4297,5730,805,4.66
1069,Houston County,Alabama,2015,32,271,3920,16,863,18506,104225,3257,6514,18341,18.06
1071,Jackson County,Alabama,2015,12,72,1450,10,218,3099,52298,4358,5229,4219,7.93
1073,Jefferson County,Alabama,2015,128,1296,19553,105,5189,107877,660007,5156,6285,205658,31.23
1075,Lamar County,Alabama,2015,7,40,904,3,77,1235,13902,1986,4634,230,1.58
