GeoID,Year,State,County,D_Etab,G_Etab,D_Cap,G_Cap,Pop,FD_num,FD_pct
19011,2005,Iowa,Benton County,6,6,4377,4377,26265,3837,14.61
19037,2005,Iowa,Chickasaw County,4,4,3140,3140,12561,-1530,-12.18
19063,2005,Iowa,Emmet County,4,7,2631,1503,10527,-2434,-23.12
19153,2005,Iowa,Polk County,39,61,10231,6541,399030,161447,40.46
20015,2005,Kansas,Butler County,7,11,8935,5686,62547,20737,33.15
20079,2005,Kansas,Harvey County,5,7,6713,4795,33566,11507,34.28
20091,2005,Kansas,Johnson County,26,81,19401,6227,504441,156757,31.08
20131,2005,Kansas,Nemaha County,3,7,3455,1481,10367,-3107,-29.97
20161,2005,Kansas,Riley County,4,7,16187,9250,64751,28431,43.91
20191,2005,Kansas,Sumner County,3,4,8265,6198,24795,7359,29.68
21015,2005,Kentucky,Boone County,10,13,10545,8112,105456,46991,44.56
21029,2005,Kentucky,Bullitt County,8,10,8577,6862,68620,25567,37.26
21045,2005,Kentucky,Casey County,5,8,3169,1980,15845,-2712,-17.12
21089,2005,Kentucky,Greenup County,9,6,4058,6088,36530,7219,19.76
21117,2005,Kentucky,Kenton County,14,33,10983,4659,153769,55105,35.84
21141,2005,Kentucky,Logan County,7,7,3817,3817,26721,4453,16.66
21151,2005,Kentucky,Madison County,14,14,5623,5623,78732,22899,29.08
21163,2005,Kentucky,Meade County,5,5,5946,5946,29732,6733,22.65
21179,2005,Kentucky,Nelson County,7,6,5797,6763,40582,12013,29.6
22075,2005,Louisiana,Plaquemines Parish,7,7,4222,4222,29558,8944,30.26
22113,2005,Louisiana,Vermilion Parish,9,21,6203,2658,55828,14395,25.78
23015,2005,Maine,Lincoln County,7,14,4980,2490,34864,5444,15.61
23027,2005,Maine,Waldo County,5,11,7682,3491,38410,6764,17.61
24001,2005,Maryland,Allegany County,11,22,6725,3362,73979,24443,33.04
24003,2005,Maryland,Anne Arundel County,33,90,15641,5735,516171,130102,25.21
24005,2005,Maryland,Baltimore County,80,135,9863,5845,789110,236387,29.96
24011,2005,Maryland,Caroline County,5,9,6283,3490,31416,7911,25.18
24029,2005,Maryland,Kent County,4,6,4923,3282,19695,3899,19.8
24033,2005,Maryland,Prince George's County,71,142,12017,6008,853271,202157,23.69
25017,2005,Massachusetts,Middlesex County,64,273,22732,5329,1454868,374290,25.73
25025,2005,Massachusetts,Suffolk County,33,200,20806,3433,686600,145688,21.22
26009,2005,Michigan,Antrim County,4,11,6065,2205,24261,3306,13.63
26011,2005,Michigan,Arenac County,5,3,3418,5698,17094,-1071,-6.27
26027,2005,Michigan,Cass County,10,12,5235,4363,52358,9461,18.07
26051,2005,Michigan,Gladwin County,10,7,2675,3821,26752,4077,15.24
26079,2005,Michigan,Kalkaska County,3,4,5793,4345,17381,1257,7.23
26081,2005,Michigan,Kent County,63,121,9400,4894,592210,149444,25.23
26087,2005,Michigan,Lapeer County,9,18,10193,5096,91739,24046,26.21
26093,2005,Michigan,Livingston County,9,27,19868,6622,178819,54430,30.44
26097,2005,Michigan,Mackinac County,5,9,2319,1288,11596,-9344,-80.58
26099,2005,Michigan,Macomb County,73,165,11352,5022,828765,196907,23.76
26103,2005,Michigan,Marquette County,9,19,7309,3462,65785,17384,26.43
26119,2005,Michigan,Montmorency County,6,5,1703,2044,10222,-5381,-52.64
26125,2005,Michigan,Oakland County,103,302,11682,3984,1203253,304670,25.32
26127,2005,Michigan,Oceana County,7,8,3917,3427,27423,9915,36.16
26137,2005,Michigan,Otsego County,5,5,4951,4951,24758,2970,12.0
26147,2005,Michigan,St. Clair County,20,31,8410,5426,168209,40389,24.01
26163,2005,Michigan,Wayne County,229,589,8560,3328,1960263,371329,18.94
27001,2005,Minnesota,Aitkin County,4,5,4040,3232,16162,465,2.88
27003,2005,Minnesota,Anoka County,15,35,21322,9138,319830,69272,21.66
27015,2005,Minnesota,Brown County,6,6,4376,4376,26260,9775,37.22
27035,2005,Minnesota,Crow Wing County,7,12,8515,4967,59606,14167,23.77
27041,2005,Minnesota,Douglas County,7,8,5015,4388,35110,10011,28.51
27045,2005,Minnesota,Fillmore County,3,9,7046,2348,21138,5947,28.13
27053,2005,Minnesota,Hennepin County,58,218,19258,5123,1117015,233086,20.87
27057,2005,Minnesota,Hubbard County,4,5,4913,3930,19652,246,1.25
27061,2005,Minnesota,Itasca County,4,12,11084,3694,44338,12591,28.4
27061,2005,Tennessee,Bedford County,4,12,10404,3468,41616,11231,26.99
27067,2005,Minnesota,Kandiyohi County,4,8,10371,5185,41487,18872,45.49
27093,2005,Minnesota,Meeker County,4,5,5803,4642,23213,3001,12.93
27095,2005,Minnesota,Mille Lacs County,6,10,4235,2541,25414,4447,17.5
27111,2005,Minnesota,Otter Tail County,11,14,5220,4101,57420,15802,27.52
27119,2005,Minnesota,Polk County,7,7,4449,4449,31148,9680,31.08
27131,2005,Minnesota,Rice County,4,10,15208,6083,60832,25531,41.97
27135,2005,Minnesota,Roseau County,6,7,2702,2316,16212,6886,42.47
27143,2005,Minnesota,Sibley County,4,4,3781,3781,15126,-1268,-8.38
