GeoID,County,State,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop_2013,D_Cap,G_Cap,FD_num_2013,FD_pct_2013
1017,Chambers County,Alabama,2013,9,66,1028,7,210,3674,34143,3793,4877,3938,11.53
1019,Cherokee County,Alabama,2013,10,55,826,5,98,1671,26025,2602,5205,856,3.29
1021,Chilton County,Alabama,2013,11,77,1108,7,171,3538,43634,3966,6233,6613,15.16
1023,Choctaw County,Alabama,2013,5,37,632,4,101,1748,13396,2679,3349,-4661,-34.79
1039,Covington County,Alabama,2013,14,96,1474,9,269,4631,37812,2700,4201,7879,20.84
1041,Crenshaw County,Alabama,2013,5,42,615,6,119,1854,13854,2770,2309,-3417,-24.66
1047,Dallas County,Alabama,2013,12,111,1414,8,234,4836,41983,3498,5247,10926,26.02
1051,Elmore County,Alabama,2013,16,135,1927,10,283,5510,80569,5035,8056,16957,21.05
1053,Escambia County,Alabama,2013,15,208,1982,6,191,3113,37763,2517,6293,24369,64.53
1055,Etowah County,Alabama,2013,27,215,3489,15,462,8054,103883,3847,6925,24818,23.89
1061,Geneva County,Alabama,2013,8,57,1077,11,235,3851,26682,3335,2425,-889,-3.33
1073,Jefferson County,Alabama,2013,118,1109,17560,110,4698,97862,659196,5586,5992,189938,28.81
1077,Lauderdale County,Alabama,2013,28,200,3401,19,634,11578,92706,3310,4879,25204,27.19
1087,Macon County,Alabama,2013,5,38,643,5,126,1895,20026,4005,4005,-1682,-8.4
1091,Marengo County,Alabama,2013,8,87,1025,3,95,1928,20114,2514,6704,3433,17.07
1095,Marshall County,Alabama,2013,24,253,3474,21,479,8353,94370,3932,4493,28861,30.58
1097,Mobile County,Alabama,2013,100,918,13531,63,2054,42660,414210,4142,6574,136824,33.03
1099,Monroe County,Alabama,2013,10,70,1064,5,132,2042,22171,2217,4434,1004,4.53
1103,Morgan County,Alabama,2013,25,193,3180,17,598,12016,119574,4782,7033,26360,22.04
1111,Randolph County,Alabama,2013,8,54,701,3,117,2233,22548,2818,7516,1659,7.36
1113,Russell County,Alabama,2013,16,159,2480,10,269,6033,59133,3695,5913,12243,20.7
1117,Shelby County,Alabama,2013,22,183,3195,28,1294,30615,204108,9277,7289,41980,20.57
1119,Sumter County,Alabama,2013,6,42,656,3,62,803,13396,2232,4465,-4440,-33.14
1121,Talladega County,Alabama,2013,26,181,2823,9,300,6713,81513,3135,9057,21736,26.67
1123,Tallapoosa County,Alabama,2013,13,112,1578,7,276,4770,41028,3156,5861,10562,25.74
1125,Tuscaloosa County,Alabama,2013,38,333,5348,24,1236,24677,201084,5291,8378,53546,26.63
1131,Wilcox County,Alabama,2013,5,40,623,8,61,1159,11152,2230,1394,-6759,-60.61
2050,Bethel Census Area,Alaska,2013,13,252,4250,22,459,6750,17847,1372,811,3283,18.4
4001,Apache County,Arizona,2013,12,95,1257,7,310,6191,72341,6028,10334,16472,22.77
4003,Cochise County,Arizona,2013,22,188,2681,18,669,16414,129608,5891,7200,31971,24.67
4005,Coconino County,Arizona,2013,15,115,1908,20,1191,25443,136713,9114,6835,36699,26.84
4009,Graham County,Arizona,2013,4,32,428,6,318,5701,37454,9363,6242,13220,35.3
4013,Maricopa County,Arizona,2013,234,2872,46628,489,29215,701117,4019019,17175,8218,744591,18.53
4015,Mohave County,Arizona,2013,31,313,4768,21,1353,33439,203158,6553,9674,55693,27.41
