GeoID,County,State,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop_2006,D_Cap,G_Cap,FD_num_2006,FD_pct_2006
1055,Etowah County,Alabama,2006,27,255,2981,27,900,13321,103528,3834,3834,45006,43.47
1073,Jefferson County,Alabama,2006,97,974,12690,167,7300,120170,655893,6761,3927,242868,37.03
1089,Madison County,Alabama,2006,58,514,6398,36,2388,39357,309170,5330,8588,117540,38.02
1107,Pickens County,Alabama,2006,9,64,724,7,162,1928,20128,2236,2875,3056,15.18
4001,Apache County,Arizona,2006,11,76,1099,11,308,5472,69390,6308,6308,12998,18.73
4003,Cochise County,Arizona,2006,28,222,3030,16,1013,20070,127241,4544,7952,45381,35.67
4013,Maricopa County,Arizona,2006,243,2360,37983,481,37594,708550,3642884,14991,7573,926022,25.42
5069,Jefferson County,Arkansas,2006,19,192,2116,17,541,8618,79977,4209,4704,30989,38.75
6031,Kings County,California,2006,8,54,716,28,761,18178,147712,18464,5275,39545,26.77
6045,Mendocino County,California,2006,12,104,1309,51,1288,31957,87345,7278,1712,28842,33.02
6055,Napa County,California,2006,3,23,561,34,1540,39803,131440,43813,3865,95858,72.93
6113,Yolo County,California,2006,10,104,1665,41,1761,42153,189615,18961,4624,58705,30.96
8001,Adams County,Colorado,2006,24,252,4206,55,2814,71885,406575,16940,7392,85744,21.09
8005,Arapahoe County,Colorado,2006,36,665,11215,71,4446,115188,531619,14767,7487,122678,23.08
8013,Boulder County,Colorado,2006,11,326,5921,47,3296,76968,284243,25840,6047,98226,34.56
9003,Hartford County,Connecticut,2006,69,590,7585,214,9767,204036,881298,12772,4118,250835,28.46
9005,Litchfield County,Connecticut,2006,9,79,1959,46,2164,41575,189682,21075,4123,60486,31.89
9009,New Haven County,Connecticut,2006,53,463,5769,174,7700,168638,850207,16041,4886,205738,24.2
12011,Broward County,Florida,2006,137,1053,15902,381,20010,384888,1739348,12695,4565,478718,27.52
