SEQN,Grocery,Nonfood,Other,EatOut,Delivery
85111,400,50,100,5.40E-79,5.40E-79
85112,120,15,20,50,5.40E-79
85113,1285,5.40E-79,5.40E-79,128,60
85114,85,5.40E-79,514,171,5.40E-79
85115,,,,,
85116,649,5.40E-79,50,200,5.40E-79
85117,300,5.40E-79,25,150,85
85118,5.40E-79,5.40E-79,250,200,5.40E-79
85119,200,5.40E-79,10,30,14
85120,,,,,
85121,250,5.40E-79,600,150,5.40E-79
85122,200,5.40E-79,128,50,5.40E-79
85123,180,5.40E-79,5.40E-79,100,5.40E-79
85124,1000,5.40E-79,25,214,40
85125,300,5.40E-79,5.40E-79,257,257
85126,200,50,5.40E-79,800,5.40E-79
85127,900,5.40E-79,300,200,5.40E-79
85128,600,5.40E-79,5.40E-79,175,5.40E-79
85129,428,85,5.40E-79,257,5.40E-79
85130,500,5.40E-79,75,150,75
85131,500,150,5.40E-79,200,5.40E-79
85132,300,120,100,300,300
85133,650,5.40E-79,5.40E-79,160,60
85134,,,,,
85135,857,5.40E-79,5.40E-79,200,128
85136,400,5.40E-79,200,100,20
85137,350,5.40E-79,150,75,5.40E-79
85138,200,5.40E-79,85,80,5.40E-79
85139,642,128,171,257,5.40E-79
85140,275,5.40E-79,100,75,5.40E-79
85141,642,5.40E-79,5.40E-79,300,5.40E-79
85142,5.40E-79,5.40E-79,642,257,5.40E-79
85143,400,100,100,50,5.40E-79
85144,650,5.40E-79,250,100,100
85145,5.40E-79,5.40E-79,600,100,5.40E-79
85146,400,100,128,428,40
85147,150,5.40E-79,5.40E-79,999999,50
85148,942,5.40E-79,120,160,5.40E-79
85149,999999,999999,999999,60,999999
85150,1400,5.40E-79,5.40E-79,85,85
85151,642,171,428,257,128
85152,400,5.40E-79,150,200,10
85153,800,150,500,300,100
85154,200,50,50,100,60
85155,225,30,20,175,40
85156,100,50,50,21,5.40E-79
85157,190,5.40E-79,5.40E-79,25,5.40E-79
85158,300,5.40E-79,100,200,5.40E-79
85159,300,5.40E-79,5.40E-79,30,5.40E-79
85160,100,5.40E-79,200,214,30
85161,400,5.40E-79,15,95,5.40E-79
85162,600,150,200,1000,5.40E-79
85163,300,100,150,999999,40
85164,400,5.40E-79,5.40E-79,171,20
85165,5.40E-79,5.40E-79,800,200,50
85166,428,5.40E-79,200,428,5.40E-79
85167,4,5.40E-79,5.40E-79,5.40E-79,100
85168,500,100,200,100,200
85169,428,5.40E-79,5.40E-79,5.40E-79,428
85170,250,5.40E-79,5.40E-79,100,100
85171,1071,50,150,5.40E-79,5.40E-79
85172,5.40E-79,5.40E-79,400,120,5.40E-79
85173,500,5.40E-79,300,5.40E-79,5.40E-79
85174,1071,20,120,5.40E-79,5.40E-79
85175,400,5.40E-79,20,5.40E-79,5.40E-79
85176,200,50,5.40E-79,5.40E-79,5.40E-79
85177,200,20,5.40E-79,40,5.40E-79
85178,800,5.40E-79,400,300,200
85179,80,75,400,420,80
85180,600,5.40E-79,5.40E-79,150,5.40E-79
85181,400,5.40E-79,5.40E-79,150,5.40E-79
85182,150,5.40E-79,150,150,5.40E-79
85183,400,5.40E-79,300,300,5.40E-79
85184,800,214,5.40E-79,300,30
85185,1000,5.40E-79,300,500,5.40E-79
85186,600,100,30,300,120
85187,400,50,5.40E-79,100,5.40E-79
85188,300,50,100,200,5.40E-79
85189,100,50,5.40E-79,5.40E-79,5.40E-79
85190,500,150,200,857,171
85191,238,5.40E-79,50,70,43
85192,400,100,5.40E-79,100,5.40E-79
85193,300,5.40E-79,100,500,100
85194,250,100,400,200,100
85195,150,5.40E-79,5.40E-79,75,5.40E-79
85196,450,5.40E-79,60,160,5.40E-79
85197,257,5.40E-79,85,5,5.40E-79
85198,5.40E-79,5.40E-79,400,5.40E-79,150
85199,600,5.40E-79,5.40E-79,5.40E-79,5.40E-79
85200,350,120,500,999999,80
85201,700,5.40E-79,100,75,5.40E-79
85202,430,5.40E-79,60,5.40E-79,5.40E-79
85203,80,25,350,100,5.40E-79
85204,132,5.40E-79,100,100,40
85205,642,171,428,257,128
85206,400,15,150,200,40
85207,642,5.40E-79,5.40E-79,642,5.40E-79
85208,5.40E-79,5.40E-79,300,5.40E-79,214
85209,400,5.40E-79,200,100,50
85210,400,5.40E-79,171,128,85
85211,2000,5.40E-79,400,200,5.40E-79
85212,2000,100,5.40E-79,500,200
85213,700,250,5.40E-79,50,5.40E-79
85214,20,12,100,30,20
85215,500,100,5.40E-79,45,45
85216,5.40E-79,5.40E-79,200,15,5.40E-79
85217,2000,5.40E-79,5.40E-79,1000,5.40E-79
85218,,,,,
85219,428,107,85,20,20
85220,200,85,5.40E-79,25,40
85221,400,50,30,150,5.40E-79
85222,450,30,400,450,100
85223,250,5.40E-79,85,100,5.40E-79
85224,350,100,250,150,50
85225,500,5.40E-79,200,100,30
85226,550,100,300,50,5.40E-79
85227,500,5.40E-79,200,300,5.40E-79
85228,650,5.40E-79,750,5.40E-79,5.40E-79
85229,300,50,100,250,5.40E-79
85230,60,20,10,30,5.40E-79
85231,857,5.40E-79,5.40E-79,300,5.40E-79
85232,857,5.40E-79,42,100,5.40E-79
85233,300,5.40E-79,100,128,107
85234,400,100,5.40E-79,5.40E-79,5.40E-79
85235,642,5.40E-79,5.40E-79,200,5.40E-79
85236,100,40,128,5.40E-79,5.40E-79
85237,800,5.40E-79,200,100,5.40E-79
85238,200,50,5.40E-79,50,100
85239,300,5.40E-79,20,5.40E-79,5.40E-79
85240,589,5.40E-79,20,200,50
85241,500,125,5.40E-79,999999,30
85242,400,5.40E-79,40,100,40
85243,400,5.40E-79,55,50,35
85244,450,35,300,120,80
85245,,,,,
85246,800,200,200,300,5.40E-79
85247,300,5.40E-79,5.40E-79,100,100
85248,668,5.40E-79,200,100,50
85249,150,5.40E-79,5.40E-79,50,5.40E-79
85250,5.40E-79,5.40E-79,642,257,5.40E-79
85251,300,5.40E-79,300,500,5.40E-79
85252,250,5.40E-79,250,5.40E-79,5.40E-79
85253,600,5.40E-79,5.40E-79,50,5.40E-79
85254,400,5.40E-79,5.40E-79,50,5.40E-79
85255,400,5.40E-79,25,300,64
85256,250,50,5.40E-79,214,5.40E-79
85257,300,125,5.40E-79,5.40E-79,5.40E-79
85258,600,5.40E-79,5.40E-79,250,5.40E-79
85259,5.40E-79,5.40E-79,500,999999,5.40E-79
85260,400,5.40E-79,100,100,5.40E-79
85261,257,5.40E-79,5.40E-79,50,20
85262,450,50,5.40E-79,5.40E-79,50
85263,5.40E-79,5.40E-79,500,100,5.40E-79
85264,80,5.40E-79,10,30,5.40E-79
85265,5.40E-79,5.40E-79,350,100,5.40E-79
85266,350,120,500,999999,80
85267,342,50,192,257,5.40E-79
85268,400,5.40E-79,5.40E-79,70,5.40E-79
85269,85,5.40E-79,342,5.40E-79,5.40E-79
85270,200,100,300,250,5.40E-79
85271,300,50,5.40E-79,100,5.40E-79
85272,428,5.40E-79,100,50,20
85273,428,5.40E-79,5.40E-79,100,5.40E-79
85274,194,5.40E-79,5.40E-79,5.40E-79,5.40E-79
85275,100,20,6,5.40E-79,5.40E-79
85276,642,50,5.40E-79,100,30
85277,500,5.40E-79,5.40E-79,100,50
85278,125,5.40E-79,5.40E-79,75,5.40E-79
85279,500,150,200,5.40E-79,5.40E-79
85280,400,5.40E-79,214,5.40E-79,278
85281,1285,214,5.40E-79,428,5.40E-79
85282,857,5.40E-79,500,100,5.40E-79
85283,600,5.40E-79,492,40,40
85284,600,5.40E-79,40,400,5.40E-79
85285,128,42,5.40E-79,5.40E-79,5.40E-79
85286,150,5.40E-79,40,150,100
85287,100,5.40E-79,5.40E-79,50,30
85288,171,5.40E-79,25,30,5.40E-79
85289,250,5.40E-79,100,342,30
85290,500,5.40E-79,642,5.40E-79,5.40E-79
85291,100,50,50,999999,999999
85292,300,40,50,1000,40
85293,857,214,100,500,128
85294,900,150,5.40E-79,200,5.40E-79
85295,857,5.40E-79,5.40E-79,400,200
85296,240,90,450,70,5.40E-79
85297,240,5.40E-79,460,492,5.40E-79
85298,200,20,300,100,5.40E-79
85299,200,40,5.40E-79,50,30
85300,500,5.40E-79,50,150,40
85301,400,5.40E-79,45,5.40E-79,5.40E-79
85302,514,128,10,100,5.40E-79
85303,5.40E-79,5.40E-79,400,5.40E-79,100
85304,150,5.40E-79,150,60,5.40E-79
85305,300,50,5.40E-79,200,100
85306,500,5.40E-79,30,400,5.40E-79
85307,700,100,5.40E-79,60,20
85308,120,30,100,15,5.40E-79
85309,999999,999999,999999,999999,128
85310,,,,,
85311,1022,5.40E-79,5.40E-79,5.40E-79,5.40E-79
85312,,,,,
85313,428,107,200,125,25
85314,,,,,
85315,400,5.40E-79,20,5.40E-79,5.40E-79
85316,500,5.40E-79,100,550,5.40E-79
85317,600,5.40E-79,5.40E-79,50,5.40E-79
85318,1071,128,171,85,25
85319,280,25,30,40,20
85320,2142,999999,5.40E-79,100,100
85321,400,150,5.40E-79,200,20
85322,342,42,30,214,5.40E-79
85323,800,5.40E-79,300,40,40
85324,171,5.40E-79,100,150,5.40E-79
85325,250,100,5.40E-79,100,5.40E-79
85326,400,5.40E-79,800,500,200
85327,75,5.40E-79,11,35,40
85328,800,5.40E-79,5.40E-79,999999,75
85329,250,25,70,400,5.40E-79
85330,5.40E-79,5.40E-79,600,150,5.40E-79
85331,200,5.40E-79,200,5.40E-79,20
85332,400,5.40E-79,5.40E-79,5.40E-79,50
85333,1100,5.40E-79,5.40E-79,100,5.40E-79
85334,550,150,150,857,5.40E-79
85335,5.40E-79,5.40E-79,400,5.40E-79,5.40E-79
85336,500,5.40E-79,75,100,5.40E-79
85337,150,5.40E-79,50,100,5.40E-79
85338,,,,,
85339,500,321,1500,300,5.40E-79
85340,5.40E-79,5.40E-79,428,100,50
85341,180,40,15,40,5.40E-79
85342,500,5.40E-79,60,5.40E-79,5.40E-79
85343,857,42,60,128,5.40E-79
85344,400,5.40E-79,60,5.40E-79,50
85345,428,5.40E-79,5.40E-79,100,5.40E-79
85346,160,5.40E-79,5.40E-79,5.40E-79,5.40E-79
85347,428,107,214,428,5.40E-79
85348,500,50,100,5.40E-79,5.40E-79
85349,500,5.40E-79,214,100,5.40E-79
85350,600,5.40E-79,600,200,60
85351,500,5.40E-79,150,250,5.40E-79
85352,25,5.40E-79,40,20,5.40E-79
85353,100,5.40E-79,800,600,5.40E-79
85354,450,75,80,200,200
85355,450,100,150,100,5.40E-79
85356,428,107,5.40E-79,40,5.40E-79
85357,999999,999999,5.40E-79,5.40E-79,5.40E-79
85358,150,5.40E-79,15,175,5.40E-79
85359,600,5.40E-79,50,300,5.40E-79
85360,,,,,
85361,642,5.40E-79,100,342,5.40E-79
85362,500,20,5.40E-79,85,5.40E-79
85363,1000,300,400,400,5.40E-79
85364,278,5.40E-79,250,560,5.40E-79
85365,450,30,10,60,5.40E-79
85366,450,150,100,40,5.40E-79
85367,300,100,5.40E-79,60,40
85368,5.40E-79,5.40E-79,200,50,5.40E-79
85369,100,50,200,150,30
85370,164,5.40E-79,20,16,5.40E-79
85371,514,128,128,214,5.40E-79
85372,50,5.40E-79,450,50,50
85373,300,5.40E-79,5.40E-79,100,5.40E-79
85374,1000,300,5.40E-79,350,100
85375,300,100,15,5.40E-79,15
85376,130,5.40E-79,100,200,150
85377,275,150,175,60,30
85378,900,200,100,200,100
85379,60,5.40E-79,5.40E-79,257,5.40E-79
85380,400,100,100,60,5.40E-79
85381,800,214,642,5.40E-79,5.40E-79
85382,100,5.40E-79,642,5.40E-79,5.40E-79
85383,857,107,20,200,25
85384,,,,,
85385,800,300,342,150,5.40E-79
85386,150,60,128,192,35
85387,800,5.40E-79,400,60,5.40E-79
85388,257,5.40E-79,150,35,5.40E-79
85389,650,5.40E-79,150,40,5.40E-79
85390,450,50,60,400,80
85391,500,30,50,40,50
85392,800,5.40E-79,65,50,5.40E-79
85393,700,5.40E-79,5.40E-79,20,5.40E-79
85394,500,75,20,300,5.40E-79
85395,428,42,85,40,5.40E-79
85396,500,5.40E-79,100,100,200
85397,365,5.40E-79,5.40E-79,20,5.40E-79
85398,500,5.40E-79,100,40,5.40E-79
85399,300,5.40E-79,200,60,5.40E-79
85400,,,,,
85401,500,5.40E-79,50,150,40
85402,5.40E-79,5.40E-79,200,5.40E-79,5.40E-79
85403,300,5.40E-79,40,20,5.40E-79
85404,300,16,150,100,999999
85405,150,5.40E-79,150,150,50
85406,999999,999999,200,70,12
85407,300,50,100,200,5.40E-79
85408,450,150,300,200,50
85409,1071,50,150,5.40E-79,5.40E-79
85410,1000,5.40E-79,5.40E-79,300,5.40E-79
85411,,,,,
85412,90,5,5.40E-79,5.40E-79,5.40E-79
85413,400,100,100,80,5.40E-79
85414,,,,,
85415,214,5.40E-79,5.40E-79,5.40E-79,5.40E-79
85416,300,5.40E-79,600,300,20
85417,400,5.40E-79,50,150,5.40E-79
85418,300,75,100,100,50
85419,600,5.40E-79,100,70,5.40E-79
85420,300,150,150,214,5.40E-79
85421,900,50,600,500,5.40E-79
85422,170,5.40E-79,50,40,5.40E-79
85423,300,30,5.40E-79,30,5.40E-79
85424,200,5.40E-79,5.40E-79,10,5.40E-79
85425,214,30,5.40E-79,25,5.40E-79
85426,250,5.40E-79,5.40E-79,30,5.40E-79
85427,50,5.40E-79,20,50,5.40E-79
85428,200,5.40E-79,150,171,70
85429,450,50,5.40E-79,5.40E-79,5.40E-79
85430,700,50,5.40E-79,250,50
85431,600,5.40E-79,5.40E-79,75,5.40E-79
85432,300,5.40E-79,175,100,50
85433,1071,5.40E-79,5.40E-79,642,5.40E-79
85434,400,5.40E-79,100,5.40E-79,50
85435,400,50,20,192,5.40E-79
85436,600,5.40E-79,100,100,5.40E-79
85437,500,5.40E-79,5.40E-79,100,100
85438,500,5.40E-79,100,550,5.40E-79
85439,450,5.40E-79,200,350,150
85440,80,75,400,420,80
85441,250,30,50,200,5.40E-79
85442,400,50,50,80,20
85443,500,5.40E-79,200,80,80
85444,300,5.40E-79,140,90,21
85445,100,5.40E-79,5.40E-79,5.40E-79,5.40E-79
85446,200,5.40E-79,128,50,5.40E-79
85447,200,40,5.40E-79,5.40E-79,5.40E-79
85448,428,64,40,75,5.40E-79
85449,350,75,100,200,40
85450,200,25,5.40E-79,30,5.40E-79
85451,400,5.40E-79,40,150,30
85452,700,50,5.40E-79,350,35
85453,600,20,200,60,30
85454,300,5.40E-79,300,400,100
85455,857,5.40E-79,5.40E-79,5.40E-79,40
85456,171,64,2,5.40E-79,5.40E-79
85457,5.40E-79,5.40E-79,500,171,5.40E-79
85458,250,5.40E-79,150,40,40
85459,900,5.40E-79,300,9,5.40E-79
85460,800,100,150,200,50
85461,,,,,
85462,642,85,100,300,30
85463,800,5.40E-79,200,90,5.40E-79
85464,428,5.40E-79,5.40E-79,85,5.40E-79
85465,200,5.40E-79,60,600,8
85466,900,200,100,200,100
85467,30,5.40E-79,40,5.40E-79,5.40E-79
85468,428,5.40E-79,642,128,5.40E-79
85469,150,5.40E-79,5.40E-79,300,20
85470,400,50,50,5.40E-79,5.40E-79
85471,300,5.40E-79,100,5.40E-79,5.40E-79
85472,6428,5.40E-79,300,5.40E-79,5.40E-79
85473,600,100,5.40E-79,200,50
85474,642,5.40E-79,300,60,5.40E-79
85475,1000,100,5.40E-79,30,25
85476,800,100,5.40E-79,200,100
85477,400,80,50,342,5.40E-79
85478,150,5.40E-79,300,5.40E-79,5.40E-79
85479,400,50,5.40E-79,100,5.40E-79
85480,600,5.40E-79,100,5.40E-79,25
85481,80,5.40E-79,30,40,5.40E-79
85482,400,60,300,200,50
85483,600,5.40E-79,1540,100,5.40E-79
85484,400,5.40E-79,5.40E-79,150,5.40E-79
85485,225,30,20,175,40
85486,857,5.40E-79,5.40E-79,857,214
85487,400,5.40E-79,300,300,40
85488,3000,5.40E-79,5.40E-79,200,30
85489,500,100,100,400,75
85490,200,20,5.40E-79,60,5.40E-79
85491,300,5.40E-79,100,128,107
85492,500,100,50,250,50
85493,60,30,20,150,5.40E-79
85494,350,5.40E-79,300,250,100
85495,800,5.40E-79,200,100,5.40E-79
85496,400,5.40E-79,200,150,5.40E-79
85497,850,5.40E-79,5.40E-79,200,50
85498,700,5.40E-79,300,200,85
85499,85,5.40E-79,8,257,60
85500,857,5.40E-79,5.40E-79,400,200
85501,,,,,
85502,150,40,5.40E-79,80,30
85503,,,,,
85504,1000,5.40E-79,5.40E-79,600,5.40E-79
85505,642,85,100,250,20
85506,325,5.40E-79,325,85,5.40E-79
85507,275,150,175,60,30
85508,150,20,100,5.40E-79,50
85509,400,50,50,100,5.40E-79
85510,400,5.40E-79,5.40E-79,5.40E-79,5.40E-79
85511,200,5.40E-79,5.40E-79,150,150
85512,200,5.40E-79,219,214,5.40E-79
85513,400,100,5.40E-79,200,40
85514,600,5.40E-79,200,170,80
85515,200,40,257,5.40E-79,60
85516,1714,5.40E-79,428,257,200
85517,514,428,30,125,5.40E-79
85518,385,10,5.40E-79,128,5.40E-79
85519,1000,5.40E-79,100,40,300
85520,700,5.40E-79,5.40E-79,40,5.40E-79
85521,428,42,5.40E-79,50,5.40E-79
85522,500,5.40E-79,5.40E-79,5.40E-79,50
85523,200,50,5.40E-79,800,5.40E-79
85524,500,75,110,200,85
85525,500,5.40E-79,200,100,5.40E-79
85526,700,5.40E-79,5.40E-79,300,5.40E-79
85527,642,85,100,300,30
85528,300,5.40E-79,500,30,5.40E-79
85529,600,5.40E-79,100,60,75
85530,150,5.40E-79,25,5.40E-79,20
85531,400,25,5.40E-79,5.40E-79,5.40E-79
85532,428,64,642,150,5.40E-79
85533,700,5.40E-79,5.40E-79,80,30
85534,400,5.40E-79,200,150,5.40E-79
85535,700,5.40E-79,5.40E-79,20,5.40E-79
85536,400,5.40E-79,5.40E-79,5.40E-79,5.40E-79
85537,999999,999999,999999,999999,999999
85538,650,5.40E-79,150,40,5.40E-79
85539,650,5.40E-79,750,5.40E-79,5.40E-79
85540,790,5.40E-79,100,40,5.40E-79
85541,857,171,214,5.40E-79,5.40E-79
85542,200,50,5.40E-79,100,33
85543,500,5.40E-79,200,50,25
85544,212,5.40E-79,30,5.40E-79,15
85545,34,5.40E-79,64,192,5.40E-79
85546,428,5.40E-79,5.40E-79,50,5.40E-79
85547,320,30,100,20,5.40E-79
85548,100,5.40E-79,300,5.40E-79,10
85549,999999,999999,999999,5.40E-79,5.40E-79
85550,428,5.40E-79,5.40E-79,214,5.40E-79
85551,100,5.40E-79,50,250,200
85552,300,5.40E-79,50,150,40
85553,428,171,5.40E-79,64,5.40E-79
85554,450,5.40E-79,5.40E-79,200,5.40E-79
85555,450,5.40E-79,100,100,999999
85556,400,5.40E-79,200,5.40E-79,5.40E-79
85557,500,5.40E-79,200,50,5.40E-79
85558,300,5.40E-79,160,50,30
85559,100,5.40E-79,600,100,5.40E-79
85560,857,5.40E-79,428,257,5.40E-79
85561,600,5.40E-79,40,999999,5.40E-79
85562,300,5.40E-79,100,35,5.40E-79
85563,,,,,
85564,250,40,60,100,5.40E-79
85565,514,85,214,60,5.40E-79
85566,300,5.40E-79,50,100,5.40E-79
85567,300,5.40E-79,20,5.40E-79,5.40E-79
85568,350,5.40E-79,150,200,20
85569,350,5.40E-79,100,75,40
85570,642,5.40E-79,30,150,5.40E-79
85571,200,5.40E-79,40,100,20
85572,300,50,5.40E-79,150,50
85573,600,5.40E-79,200,150,50
85574,300,30,200,5.40E-79,5.40E-79
85575,400,5.40E-79,100,300,5.40E-79
85576,450,50,5.40E-79,5.40E-79,5.40E-79
85577,400,5.40E-79,5.40E-79,100,50
85578,150,25,5.40E-79,214,5.40E-79
85579,100,30,300,160,30
85580,400,5.40E-79,1125,5.40E-79,80
85581,200,5.40E-79,5.40E-79,80,5.40E-79
85582,400,5.40E-79,300,300,5.40E-79
85583,400,5.40E-79,25,90,5.40E-79
85584,857,128,42,642,5.40E-79
85585,150,5.40E-79,5.40E-79,50,25
85586,857,85,40,30,5.40E-79
85587,500,5.40E-79,200,100,20
85588,214,5.40E-79,100,128,10
85589,300,60,5.40E-79,100,5.40E-79
85590,5.40E-79,5.40E-79,400,5.40E-79,100
85591,857,214,5.40E-79,85,5.40E-79
85592,800,200,5.40E-79,50,20
85593,857,5.40E-79,428,300,171
85594,400,50,100,300,5.40E-79
85595,600,200,5.40E-79,50,5.40E-79
85596,350,60,100,100,56
85597,140,5.40E-79,5.40E-79,5.40E-79,5.40E-79
85598,200,5.40E-79,250,235,50
85599,225,5.40E-79,5.40E-79,200,5.40E-79
85600,5.40E-79,5.40E-79,800,300,200
85601,400,5.40E-79,857,428,5.40E-79
85602,800,5.40E-79,100,100,5.40E-79
85603,428,5.40E-79,120,128,30
85604,150,20,2,5.40E-79,14
85605,500,85,100,200,50
85606,400,50,50,3000,5.40E-79
85607,600,100,5.40E-79,200,50
85608,250,5.40E-79,85,100,5.40E-79
85609,428,85,300,5.40E-79,5.40E-79
85610,857,85,40,30,5.40E-79
85611,850,100,5.40E-79,500,100
85612,100,50,100,100,5.40E-79
85613,700,5.40E-79,5.40E-79,150,50
85614,400,100,220,5.40E-79,33
85615,500,200,100,150,100
85616,200,5.40E-79,200,428,25
85617,300,30,5.40E-79,80,20
85618,300,75,75,200,50
85619,200,40,257,5.40E-79,60
85620,1714,5.40E-79,214,214,128
85621,200,5.40E-79,999999,5.40E-79,5.40E-79
85622,1200,257,300,180,30
85623,600,5.40E-79,5.40E-79,400,50
85624,120,30,85,171,5.40E-79
85625,400,30,200,400,5.40E-79
85626,300,5.40E-79,5.40E-79,5.40E-79,5.40E-79
85627,250,5.40E-79,100,342,30
85628,1000,50,500,750,200
85629,857,200,100,44,5.40E-79
85630,300,5.40E-79,50,100,5.40E-79
85631,600,50,100,150,50
85632,300,50,20,75,5.40E-79
85633,857,214,428,80,107
85634,2800,5.40E-79,200,100,5.40E-79
85635,200,5.40E-79,800,150,100
85636,200,5.40E-79,200,60,80
85637,225,5.40E-79,192,100,5.40E-79
85638,400,30,200,300,50
85639,600,5.40E-79,5.40E-79,5.40E-79,5.40E-79
85640,1071,107,214,642,5.40E-79
85641,300,100,5.40E-79,200,5.40E-79
85642,40,5.40E-79,60,100,5.40E-79
85643,5.40E-79,5.40E-79,600,5.40E-79,80
85644,342,128,171,21,5.40E-79
85645,200,171,214,128,128
85646,650,5.40E-79,5.40E-79,5.40E-79,28
85647,428,107,5.40E-79,100,5.40E-79
85648,150,5.40E-79,5.40E-79,14,5.40E-79
85649,450,5.40E-79,40,5.40E-79,5.40E-79
85650,800,400,100,200,5.40E-79
85651,400,5.40E-79,200,100,20
85652,800,400,100,200,5.40E-79
85653,400,5.40E-79,60,300,20
85654,428,5.40E-79,42,400,5.40E-79
85655,500,5.40E-79,5.40E-79,100,5.40E-79
85656,500,5.40E-79,5.40E-79,50,5.40E-79
85657,750,171,150,428,85
85658,999999,999999,999999,999999,999999
85659,350,150,350,70,60
85660,535,107,5.40E-79,450,5.40E-79
85661,5.40E-79,5.40E-79,600,100,5.40E-79
85662,200,50,60,5.40E-79,5.40E-79
85663,500,70,150,100,50
85664,200,100,300,250,5.40E-79
85665,400,5.40E-79,250,400,5.40E-79
85666,275,150,175,60,30
85667,400,50,5.40E-79,128,20
85668,85,5.40E-79,6,5.40E-79,5.40E-79
85669,5.40E-79,5.40E-79,300,100,5.40E-79
85670,557,5.40E-79,128,85,5.40E-79
85671,500,5.40E-79,300,5.40E-79,5.40E-79
85672,50,5.40E-79,20,75,5.40E-79
85673,600,5.40E-79,100,80,5.40E-79
85674,300,5.40E-79,75,200,50
85675,50,5.40E-79,25,150,25
85676,600,5.40E-79,200,30,5.40E-79
85677,857,85,50,300,120
85678,600,5.40E-79,100,200,5.40E-79
85679,400,5.40E-79,5.40E-79,5.40E-79,20
85680,342,5.40E-79,20,225,5.40E-79
85681,300,5.40E-79,200,100,50
85682,500,5.40E-79,80,20,5.40E-79
85683,428,5.40E-79,85,428,5.40E-79
85684,600,200,80,5.40E-79,50
85685,130,5.40E-79,80,90,25
85686,1607,5.40E-79,300,375,50
85687,5.40E-79,5.40E-79,200,171,30
85688,642,214,5.40E-79,70,5.40E-79
85689,,,,,
85690,600,200,150,350,5.40E-79
85691,450,5.40E-79,5.40E-79,85,5.40E-79
85692,200,50,5.40E-79,5.40E-79,5.40E-79
85693,600,5.40E-79,5.40E-79,200,5.40E-79
85694,500,50,100,5.40E-79,5.40E-79
85695,,,,,
85696,600,100,5.40E-79,100,25
85697,55,5.40E-79,10,5.40E-79,5.40E-79
85698,400,5.40E-79,100,100,50
85699,300,5.40E-79,200,200,5.40E-79
85700,300,50,100,150,5.40E-79
85701,5.40E-79,5.40E-79,300,200,5.40E-79
85702,214,5.40E-79,20,80,70
85703,5.40E-79,5.40E-79,600,150,5.40E-79
85704,700,150,200,150,5.40E-79
85705,400,5.40E-79,50,240,40
85706,200,5.40E-79,999999,999999,30
85707,600,5.40E-79,300,100,70
85708,600,5.40E-79,100,50,70
85709,500,5.40E-79,200,1000,250
85710,,,,,
85711,50,5.40E-79,100,15,5.40E-79
85712,600,5.40E-79,100,100,5.40E-79
85713,150,5.40E-79,80,85,5.40E-79
85714,200,5.40E-79,300,200,150
85715,5.40E-79,5.40E-79,200,5.40E-79,10
85716,200,5.40E-79,5.40E-79,342,5.40E-79
85717,600,100,5.40E-79,642,20
85718,200,5.40E-79,150,30,5.40E-79
85719,1200,300,300,100,100
85720,700,50,25,400,5.40E-79
85721,800,300,200,250,50
85722,2142,1285,1285,857,214
85723,400,5.40E-79,100,150,5.40E-79
85724,,,,,
85725,500,5.40E-79,40,15,5.40E-79
85726,650,100,5.40E-79,5.40E-79,100
85727,642,5.40E-79,128,214,50
85728,535,5.40E-79,5.40E-79,5.40E-79,5.40E-79
85729,1500,5.40E-79,5.40E-79,100,5.40E-79
85730,200,5.40E-79,5.40E-79,40,5.40E-79
85731,,,,,
85732,400,50,100,200,150
85733,500,5.40E-79,5.40E-79,50,5.40E-79
85734,5.40E-79,5.40E-79,800,200,100
85735,200,15,50,42,64
85736,400,60,5.40E-79,150,5.40E-79
85737,850,5.40E-79,120,100,30
85738,300,5.40E-79,5.40E-79,40,5.40E-79
85739,300,5.40E-79,50,200,20
85740,400,50,5.40E-79,5.40E-79,5.40E-79
85741,400,75,50,40,5.40E-79
85742,5.40E-79,5.40E-79,500,40,5.40E-79
85743,60,5.40E-79,80,25,5.40E-79
85744,300,50,5,128,5.40E-79
85745,175,25,25,130,30
85746,150,30,50,200,5.40E-79
85747,300,5.40E-79,300,100,400
85748,500,5.40E-79,200,100,100
85749,150,5.40E-79,150,100,150
85750,385,5.40E-79,5.40E-79,5.40E-79,5.40E-79
85751,700,5.40E-79,5.40E-79,100,5.40E-79
85752,300,5.40E-79,70,40,5.40E-79
85753,6428,5.40E-79,300,5.40E-79,5.40E-79
85754,600,5.40E-79,5.40E-79,350,5.40E-79
85755,500,50,50,50,5.40E-79
85756,400,50,642,100,999999
85757,,,,,
85758,1000,5.40E-79,5.40E-79,100,5.40E-79
85759,1607,5.40E-79,300,375,50
85760,75,5.40E-79,250,200,5.40E-79
85761,400,5.40E-79,60,60,30
85762,642,5.40E-79,5.40E-79,200,5.40E-79
85763,450,5.40E-79,5.40E-79,40,5.40E-79
85764,428,5.40E-79,321,428,5.40E-79
85765,300,30,100,500,100
85766,130,5.40E-79,5.40E-79,200,100
85767,400,5.40E-79,20,50,5.40E-79
85768,400,5.40E-79,150,257,5.40E-79
85769,500,100,5.40E-79,60,5.40E-79
85770,400,5.40E-79,100,5.40E-79,5.40E-79
85771,700,200,200,150,5.40E-79
85772,425,5.40E-79,100,30,20
85773,857,5.40E-79,642,300,5.40E-79
85774,165,5.40E-79,165,30,5.40E-79
85775,250,100,400,200,100
85776,790,5.40E-79,100,40,5.40E-79
