SEQN,Grocery,Nonfood,Other,EatOut,Delivery
83887,450,5.40E-79,100,100,999999
83888,300,5.40E-79,30,20,5.40E-79
83889,600,200,200,400,5.40E-79
83890,700,5.40E-79,100,5.40E-79,5.40E-79
83891,200,5.40E-79,5.40E-79,25,5.40E-79
83892,350,5.40E-79,5.40E-79,50,5.40E-79
83893,999999,999999,5.40E-79,5.40E-79,5.40E-79
83894,450,5.40E-79,50,70,50
83895,999999,999999,5.40E-79,999999,999999
83896,500,5.40E-79,200,200,5.40E-79
83897,257,85,40,80,30
83898,300,75,75,200,50
83899,150,5.40E-79,20,60,5.40E-79
83900,192,30,15,4,5.40E-79
83901,470,100,100,60,50
83902,750,5.40E-79,5.40E-79,600,5.40E-79
83903,5.40E-79,5.40E-79,500,999999,5.40E-79
83904,600,999999,5.40E-79,15,5.40E-79
83905,857,5.40E-79,857,200,200
83906,357,5.40E-79,5.40E-79,50,5.40E-79
83907,300,5.40E-79,20,200,100
83908,214,5.40E-79,25,16,5.40E-79
83909,777777,777777,777777,777777,777777
83910,300,100,50,100,5.40E-79
83911,500,50,5.40E-79,100,5.40E-79
83912,771,5.40E-79,5.40E-79,5.40E-79,5.40E-79
83913,600,5.40E-79,100,50,70
83914,400,5.40E-79,100,100,5.40E-79
83915,342,42,30,214,5.40E-79
83916,600,5.40E-79,100,400,30
83917,300,5.40E-79,5.40E-79,999999,5.40E-79
83918,650,5.40E-79,5.40E-79,160,60
83919,150,5.40E-79,350,120,50
83920,1714,128,5.40E-79,5.40E-79,5.40E-79
83921,600,5.40E-79,50,300,5.40E-79
83922,800,5.40E-79,100,100,5.40E-79
83923,400,100,100,60,5.40E-79
83924,557,5.40E-79,128,85,5.40E-79
83925,428,5.40E-79,50,321,5.40E-79
83926,364,107,85,257,5.40E-79
83927,385,5.40E-79,85,30,5.40E-79
83928,,,,,
83929,1400,5.40E-79,5.40E-79,85,85
83930,278,5.40E-79,5.40E-79,32,5.40E-79
83931,200,5.40E-79,40,100,20
83932,500,50,20,35,5.40E-79
83933,500,100,171,150,40
83934,180,5.40E-79,70,30,5.40E-79
83935,642,5.40E-79,5.40E-79,500,5.40E-79
83936,500,50,150,999999,75
83937,400,5.40E-79,5.40E-79,250,5.40E-79
83938,428,5.40E-79,5.40E-79,100,5.40E-79
83939,350,15,50,75,75
83940,642,5.40E-79,80,60,5.40E-79
83941,,,,,
83942,342,42,200,300,50
83943,1200,5.40E-79,5.40E-79,200,5.40E-79
83944,175,5.40E-79,50,5.40E-79,40
83945,1285,85,80,300,100
83946,250,25,5.40E-79,400,5.40E-79
83947,100,5.40E-79,400,350,40
83948,642,128,171,257,5.40E-79
83949,428,5.40E-79,5.40E-79,5.40E-79,5.40E-79
83950,5.40E-79,5.40E-79,50,180,5.40E-79
83951,135,5.40E-79,5.40E-79,5.40E-79,5.40E-79
83952,1071,5.40E-79,342,428,171
83953,200,40,150,200,50
83954,214,5.40E-79,85,50,25
83955,300,150,200,100,50
83956,642,107,5.40E-79,85,85
83957,500,5.40E-79,100,100,5.40E-79
83958,150,40,85,100,214
83959,450,5.40E-79,5.40E-79,999999,5.40E-79
83960,428,107,214,428,5.40E-79
83961,800,100,5.40E-79,200,5.40E-79
83962,600,60,5.40E-79,100,5.40E-79
83963,321,107,200,5.40E-79,5.40E-79
83964,500,5.40E-79,5.40E-79,100,5.40E-79
83965,200,5.40E-79,20,50,5.40E-79
83966,999999,999999,999999,999999,999999
83967,500,20,5.40E-79,428,214
83968,600,5.40E-79,5.40E-79,777777,5.40E-79
83969,200,5.40E-79,150,50,5.40E-79
83970,400,85,100,50,5.40E-79
83971,400,100,100,50,5.40E-79
83972,250,60,70,100,40
83973,400,5.40E-79,300,125,5.40E-79
83974,350,5.40E-79,100,75,40
83975,300,50,80,100,100
83976,214,5.40E-79,5.40E-79,60,5.40E-79
83977,200,5.40E-79,5.40E-79,214,5.40E-79
83978,200,5.40E-79,5.40E-79,50,5.40E-79
83979,350,120,500,999999,80
83980,700,200,200,150,5.40E-79
83981,450,30,30,30,20
83982,428,85,42,85,85
83983,150,5.40E-79,5.40E-79,75,5.40E-79
83984,250,5.40E-79,100,300,5.40E-79
83985,1607,5.40E-79,5.40E-79,1928,5.40E-79
83986,350,5.40E-79,150,100,5.40E-79
83987,1714,128,5.40E-79,5.40E-79,5.40E-79
83988,500,5.40E-79,5.40E-79,200,150
83989,111,5.40E-79,999999,5.40E-79,5.40E-79
83990,500,5.40E-79,60,5.40E-79,5.40E-79
83991,428,5.40E-79,5.40E-79,100,5.40E-79
83992,214,5.40E-79,5.40E-79,50,5.40E-79
83993,350,5.40E-79,100,171,5.40E-79
83994,200,5.40E-79,400,400,5.40E-79
83995,428,128,214,642,50
83996,250,16,10,5.40E-79,5.40E-79
83997,500,5.40E-79,300,100,50
83998,250,5.40E-79,85,214,5.40E-79
83999,500,5.40E-79,5.40E-79,5.40E-79,5.40E-79
84000,200,5.40E-79,171,428,128
84001,300,50,50,40,5.40E-79
84002,300,5.40E-79,5.40E-79,50,5.40E-79
84003,700,70,200,100,60
84004,450,5.40E-79,80,150,5.40E-79
84005,300,5.40E-79,15,120,70
84006,150,15,30,200,100
84007,500,250,30,70,20
84008,857,5.40E-79,642,214,5.40E-79
84009,500,50,5.40E-79,200,75
84010,400,85,85,20,20
84011,400,5.40E-79,5.40E-79,100,5.40E-79
84012,1285,5.40E-79,5.40E-79,60,5.40E-79
84013,1000,5.40E-79,5.40E-79,75,5.40E-79
84014,642,5.40E-79,214,5.40E-79,5.40E-79
84015,,,,,
84016,500,5.40E-79,100,300,100
84017,,,,,
84018,300,5.40E-79,5.40E-79,400,50
84019,400,5.40E-79,100,5.40E-79,50
84020,500,5.40E-79,100,200,50
84021,800,5.40E-79,150,200,5.40E-79
84022,450,50,60,400,80
84023,250,5.40E-79,45,100,30
84024,300,100,300,50,100
84025,400,5.40E-79,250,280,5.40E-79
84026,600,5.40E-79,20,30,20
84027,600,5.40E-79,100,150,85
84028,800,5.40E-79,5.40E-79,642,171
84029,,,,,
84030,857,5.40E-79,771,5.40E-79,5.40E-79
84031,,,,,
84032,999999,999999,5.40E-79,999999,5.40E-79
84033,600,150,60,250,80
84034,500,5.40E-79,200,100,50
84035,260,5.40E-79,240,80,5.40E-79
84036,350,5.40E-79,5,100,5.40E-79
84037,500,5.40E-79,250,400,5.40E-79
84038,250,50,50,150,5.40E-79
84039,300,5.40E-79,171,257,171
84040,857,5.40E-79,5.40E-79,100,5.40E-79
84041,650,100,2,300,60
84042,250,75,125,78,5.40E-79
84043,800,40,5.40E-79,5.40E-79,5.40E-79
84044,642,5.40E-79,5.40E-79,5.40E-79,60
84045,800,5.40E-79,100,5.40E-79,60
84046,300,50,200,300,5.40E-79
84047,600,150,200,1000,5.40E-79
84048,1000,5.40E-79,5.40E-79,350,60
84049,,,,,
84050,60,999999,10,20,5.40E-79
84051,500,5.40E-79,5.40E-79,200,5.40E-79
84052,800,200,300,428,10
84053,1285,5.40E-79,642,342,5.40E-79
84054,300,5.40E-79,214,857,5.40E-79
84055,250,5.40E-79,60,120,60
84056,300,5.40E-79,5.40E-79,130,5.40E-79
84057,500,5.40E-79,200,100,50
84058,1071,214,5.40E-79,300,85
84059,700,5.40E-79,150,100,100
84060,400,5.40E-79,50,50,5.40E-79
84061,600,200,30,300,30
84062,600,5.40E-79,200,5.40E-79,5.40E-79
84063,700,200,5.40E-79,100,5.40E-79
84064,700,5.40E-79,100,214,20
84065,200,100,5.40E-79,50,20
84066,1200,5.40E-79,5.40E-79,800,200
84067,300,50,100,200,5.40E-79
84068,200,5.40E-79,5.40E-79,150,80
84069,500,5.40E-79,5.40E-79,5.40E-79,5.40E-79
84070,560,171,171,10,50
84071,1928,214,214,100,5.40E-79
84072,100,5.40E-79,600,300,50
84073,600,5.40E-79,5.40E-79,200,60
84074,557,5.40E-79,107,214,5.40E-79
84075,110,39,100,40,20
84076,700,5.40E-79,5.40E-79,150,150
84077,400,5.40E-79,5.40E-79,240,5.40E-79
84078,300,100,200,60,30
84079,300,5.40E-79,5.40E-79,30,5.40E-79
84080,250,128,5.40E-79,428,60
84081,960,20,50,157,5.40E-79
84082,300,5.40E-79,5.40E-79,300,5.40E-79
84083,650,5.40E-79,250,100,100
84084,500,100,5.40E-79,60,5.40E-79
84085,500,5.40E-79,200,5.40E-79,5.40E-79
84086,450,100,150,100,5.40E-79
84087,500,5.40E-79,200,200,50
84088,1000,5.40E-79,200,200,100
84089,128,5.40E-79,171,5.40E-79,5.40E-79
84090,250,5.40E-79,50,100,5.40E-79
84091,250,25,5.40E-79,214,32
84092,400,5.40E-79,5.40E-79,200,5.40E-79
84093,500,150,171,100,50
84094,500,100,100,185,5.40E-79
84095,100,5.40E-79,100,150,5.40E-79
84096,800,200,5.40E-79,50,30
84097,700,100,150,350,35
84098,800,5.40E-79,700,400,150
84099,80,25,350,100,5.40E-79
84100,80,5.40E-79,700,100,5.40E-79
84101,300,50,300,150,5.40E-79
84102,400,5.40E-79,214,5.40E-79,278
84103,5.40E-79,5.40E-79,200,200,50
84104,550,5.40E-79,200,300,171
84105,400,60,300,200,50
84106,500,5.40E-79,500,200,5.40E-79
84107,999999,999999,200,999999,999999
84108,300,30,5.40E-79,20,21
84109,500,25,5.40E-79,150,5.40E-79
84110,1714,642,300,200,5.40E-79
84111,,,,,
84112,400,5.40E-79,5.40E-79,20,50
84113,1285,5.40E-79,642,300,5.40E-79
84114,100,5.40E-79,5,30,5.40E-79
84115,200,5.40E-79,200,100,5.40E-79
84116,300,5.40E-79,250,128,50
84117,400,5.40E-79,5.40E-79,100,20
84118,342,5.40E-79,999999,5.40E-79,5.40E-79
84119,,,,,
84120,600,50,12,10,5.40E-79
84121,600,5.40E-79,5.40E-79,200,60
84122,999999,999999,400,321,5.40E-79
84123,300,42,150,557,40
84124,600,5.40E-79,600,200,60
84125,400,70,100,200,50
84126,700,5.40E-79,100,75,5.40E-79
84127,600,5.40E-79,5.40E-79,200,60
84128,200,40,50,100,5.40E-79
84129,200,5.40E-79,5.40E-79,5.40E-79,5.40E-79
84130,83,5.40E-79,20,1000,30
84131,700,5.40E-79,5.40E-79,80,30
84132,600,5.40E-79,150,5.40E-79,5.40E-79
84133,250,60,20,200,5.40E-79
84134,600,100,500,125,75
84135,300,60,20,20,20
84136,400,50,50,100,5.40E-79
84137,300,5.40E-79,100,50,5.40E-79
84138,1071,128,200,557,5.40E-79
84139,250,150,25,25,5.40E-79
84140,150,10,5.40E-79,30,15
84141,200,30,150,240,80
84142,600,5.40E-79,100,200,5.40E-79
84143,120,5.40E-79,5.40E-79,30,5.40E-79
84144,127,5.40E-79,250,60,5.40E-79
84145,800,100,300,200,30
84146,214,5.40E-79,30,50,30
84147,999999,999999,150,5.40E-79,50
84148,800,5.40E-79,5.40E-79,999999,75
84149,400,10,20,70,30
84150,60,5.40E-79,500,5.40E-79,5.40E-79
84151,200,50,5.40E-79,8400,5.40E-79
84152,428,5.40E-79,214,5.40E-79,5.40E-79
84153,857,5.40E-79,5.40E-79,428,5.40E-79
84154,300,100,200,60,30
84155,200,5.40E-79,5.40E-79,342,5.40E-79
84156,700,5.40E-79,5.40E-79,20,5.40E-79
84157,999999,999999,999999,50,5.40E-79
84158,600,5.40E-79,5.40E-79,100,100
84159,150,5.40E-79,75,40,5.40E-79
84160,750,214,5.40E-79,85,40
84161,200,5.40E-79,200,25,25
84162,428,5.40E-79,214,257,171
84163,1200,5.40E-79,50,120,5.40E-79
84164,600,100,5.40E-79,500,30
84165,800,5.40E-79,200,150,5.40E-79
84166,600,50,42,171,5.40E-79
84167,800,5.40E-79,65,50,5.40E-79
84168,500,5.40E-79,100,5.40E-79,5.40E-79
84169,300,5.40E-79,5.40E-79,30,5.40E-79
84170,1500,200,300,500,100
84171,400,5.40E-79,200,150,5.40E-79
84172,30,25,120,107,10
84173,400,50,150,257,5.40E-79
84174,342,85,171,257,5.40E-79
84175,250,50,150,321,100
84176,600,5.40E-79,50,642,5.40E-79
84177,200,50,5.40E-79,5.40E-79,30
84178,214,5.40E-79,5.40E-79,450,5.40E-79
84179,700,5.40E-79,300,200,100
84180,857,257,150,107,107
84181,400,5.40E-79,10,100,5.40E-79
84182,300,90,999999,200,50
84183,650,5.40E-79,400,100,5.40E-79
84184,100,10,40,40,5.40E-79
84185,342,5.40E-79,107,171,85
84186,400,5.40E-79,100,100,5.40E-79
84187,800,5.40E-79,5.40E-79,999999,75
84188,200,25,5.40E-79,50,5.40E-79
84189,400,30,100,100,50
84190,600,5.40E-79,400,200,5.40E-79
84191,642,5.40E-79,192,50,5.40E-79
84192,300,5.40E-79,20,80,5.40E-79
84193,360,5.40E-79,75,278,5.40E-79
84194,350,100,200,150,50
84195,150,5.40E-79,85,9,5.40E-79
84196,428,5.40E-79,642,999999,999999
84197,200,50,5.40E-79,8400,5.40E-79
84198,500,50,100,5.40E-79,5.40E-79
84199,493,5.40E-79,200,50,50
84200,200,5.40E-79,80,200,5.40E-79
84201,45,5.40E-79,20,5.40E-79,5.40E-79
84202,800,200,300,428,10
84203,321,107,200,5.40E-79,5.40E-79
84204,,,,,
84205,300,5.40E-79,128,171,5.40E-79
84206,857,40,500,50,5.40E-79
84207,,,,,
84208,80,5.40E-79,60,5.40E-79,5.40E-79
84209,642,5.40E-79,5.40E-79,100,30
84210,6428,5.40E-79,300,5.40E-79,5.40E-79
84211,550,5.40E-79,5.40E-79,200,5.40E-79
84212,120,5.40E-79,5.40E-79,5.40E-79,5.40E-79
84213,700,150,20,60,5.40E-79
84214,400,5.40E-79,5.40E-79,171,20
84215,257,40,70,5.40E-79,5.40E-79
84216,40,5.40E-79,400,5.40E-79,5.40E-79
84217,400,50,300,321,75
84218,800,100,50,80,5.40E-79
84219,250,5.40E-79,5.40E-79,150,40
84220,250,5.40E-79,600,150,5.40E-79
84221,5.40E-79,5.40E-79,350,100,5.40E-79
84222,535,5.40E-79,100,107,5.40E-79
84223,400,5.40E-79,200,150,5.40E-79
84224,999999,999999,400,321,5.40E-79
84225,5.40E-79,5.40E-79,500,200,5.40E-79
84226,400,25,5.40E-79,192,50
84227,600,5.40E-79,5.40E-79,777777,5.40E-79
84228,200,5.40E-79,5.40E-79,5.40E-79,5.40E-79
84229,300,60,214,200,100
84230,500,50,150,200,5.40E-79
84231,300,60,20,100,5.40E-79
84232,500,5.40E-79,5.40E-79,5.40E-79,5.40E-79
84233,300,5.40E-79,171,257,171
84234,600,5.40E-79,5.40E-79,5.40E-79,5.40E-79
84235,325,5.40E-79,150,50,5.40E-79
84236,100,5.40E-79,5.40E-79,5.40E-79,999999
84237,200,5.40E-79,100,200,5.40E-79
84238,264,5.40E-79,60,60,40
84239,400,20,5.40E-79,500,40
84240,321,5.40E-79,171,128,171
84241,,,,,
84242,2000,500,5.40E-79,400,5.40E-79
84243,400,200,300,200,5.40E-79
84244,428,5.40E-79,70,100,100
84245,1000,64,140,100,5.40E-79
84246,200,20,5.40E-79,40,5.40E-79
84247,600,75,5.40E-79,200,5.40E-79
84248,349,5.40E-79,10,22,5.40E-79
84249,500,5.40E-79,40,15,5.40E-79
84250,700,5.40E-79,5.40E-79,200,5.40E-79
84251,150,5.40E-79,150,50,50
