GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay
28161,2005,6,50,582,4,91,1080
28163,2005,9,87,983,8,236,4244
29095,2005,82,799,11490,102,5214,95678
29201,2005,9,57,623,12,257,4014
29510,2005,36,303,4721,116,3026,61256
31001,2005,5,70,851,7,371,5361
31025,2005,3,53,978,5,105,1385
31031,2005,4,56,672,4,144,1602
31101,2005,4,73,1083,3,90,1552
31107,2005,3,24,248,9,99,924
31155,2005,4,57,587,7,130,1722
31161,2005,3,31,431,7,80,1078
32007,2005,3,11,176,14,499,9565
32031,2005,23,285,4745,61,3115,83650
34005,2005,36,242,2853,93,4170,90404
34011,2005,16,102,1261,45,1194,27496
34013,2005,72,591,10221,311,6175,138768
34023,2005,88,359,4740,211,6682,141083
34025,2005,52,329,4253,171,7612,167473
34027,2005,26,355,6550,119,5265,127087
34041,2005,6,63,756,26,1322,29053
36039,2005,8,75,701,14,460,7836
36049,2005,4,13,111,9,96,1394
36051,2005,13,94,839,13,723,10579
36083,2005,20,130,1622,26,1437,22930
36103,2005,100,704,9527,543,14361,314568
36107,2005,10,62,614,14,342,5067
36109,2005,6,68,686,16,1062,18734
36119,2005,61,592,7783,461,9287,209608
37025,2005,23,163,2216,27,941,15033
37055,2005,15,78,1596,18,468,11541
37081,2005,56,526,6578,92,3571,58803
37087,2005,13,83,1231,13,527,8141
37105,2005,13,94,1218,15,396,5935
37119,2005,83,886,11773,186,8207,141308
37141,2005,9,57,622,8,257,5108
37159,2005,21,180,2493,25,823,12931
37169,2005,10,50,612,8,183,2764
37183,2005,71,635,7834,155,7456,123813
37189,2005,14,214,3003,8,434,6823
37193,2005,7,78,1010,16,406,6103
38015,2005,5,65,915,8,735,10756
38099,2005,4,53,555,5,169,1910
39015,2005,10,80,1058,6,434,5270
39019,2005,7,63,775,4,129,1964
39025,2005,27,183,2071,27,2128,23527
39035,2005,122,951,12728,344,10278,203445
39049,2005,113,1471,19033,268,14505,190996
39061,2005,91,1101,12512,172,11097,130299
39067,2005,4,28,352,6,104,1147
39085,2005,24,207,2511,37,2007,40261
39089,2005,18,179,2251,26,1510,22732
39093,2005,41,389,3987,52,2148,40889
39111,2005,5,32,344,6,122,1461
39117,2005,5,46,519,5,288,2701
39127,2005,6,51,515,9,241,3260
39133,2005,13,80,1424,27,1073,19331
39145,2005,17,137,1723,16,807,10751
39175,2005,5,60,485,8,211,2406
40097,2005,10,52,638,12,307,4223
40101,2005,14,121,1492,19,388,5457
41005,2005,16,198,2710,57,2899,65806
41017,2005,12,180,2460,33,1528,30189
41029,2005,17,235,3910,45,1808,40189
41039,2005,18,201,2952,84,3034,65629
41041,2005,4,27,427,22,559,10203
41043,2005,8,95,1751,21,735,14458
41047,2005,14,174,2583,54,2259,52019
41051,2005,31,361,5308,139,5492,129897
41067,2005,22,266,4046,80,4040,94834
42003,2005,144,1310,15295,213,12111,207749
42009,2005,7,51,513,15,392,5276
42037,2005,11,76,1111,14,779,10215
42059,2005,7,62,774,6,251,3286
42061,2005,9,50,569,7,329,4631
42071,2005,46,539,9742,115,6951,98244
42099,2005,7,52,438,9,422,6286
42109,2005,7,65,768,14,498,6741
42115,2005,11,64,790,14,311,4585
45019,2005,48,431,4971,95,3945,67024
46023,2005,3,34,364,4,101,1109
47041,2005,7,56,928,8,138,1848
47047,2005,9,60,830,5,217,2119
47107,2005,13,107,1749,7,282,4295
47119,2005,16,115,1651,18,753,11176
47157,2005,111,970,14414,219,8720,121433
48029,2005,149,1234,17546,174,10779,202961
48085,2005,47,371,5422,78,5373,113941
48121,2005,45,422,5329,48,2992,56854
48201,2005,393,2815,43627,801,27088,518391
48213,2005,17,105,1386,11,283,5875
48231,2005,12,108,1250,13,423,7737
48439,2005,182,1366,19419,218,11133,219401
49021,2005,3,69,1150,4,292,5439
49027,2005,6,54,694,5,160,1789
49035,2005,51,551,7164,153,9168,180498
49049,2005,26,203,2428,43,2960,54438
49057,2005,16,257,4566,32,1650,30249
51001,2005,12,82,960,10,241,3896
51011,2005,7,31,393,5,182,1939
51031,2005,13,193,2190,12,405,5475
51043,2005,3,12,191,4,62,980
51051,2005,6,28,307,7,173,1980
51093,2005,8,53,748,5,302,4485
51131,2005,8,78,755,8,159,2178
51153,2005,27,187,2655,61,2661,58044
51165,2005,8,51,591,13,332,4647
51169,2005,9,58,649,6,269,3784
51520,2005,5,28,380,5,448,5766
51540,2005,6,67,886,23,1175,17603
51590,2005,12,116,1354,14,432,6487
51660,2005,12,114,1379,17,522,7794
51740,2005,14,127,1833,12,461,6717
51810,2005,45,376,4753,73,3490,57396
53005,2005,8,146,2101,23,906,23392
53007,2005,6,67,979,18,655,14326
53011,2005,18,139,1765,52,2317,55698
53021,2005,3,85,1527,14,421,9417
53027,2005,8,71,1452,25,640,15812
53033,2005,67,826,13569,464,19085,446372
53047,2005,3,8,74,13,321,6462
53063,2005,25,242,3696,86,3723,85340
53077,2005,10,114,1834,57,1633,33095
54011,2005,21,200,2964,21,1370,13648
54019,2005,9,70,985,16,523,5884
54077,2005,6,65,1091,6,156,1660
54109,2005,9,99,1217,9,180,2536
55005,2005,12,221,3734,11,419,6035
55019,2005,5,87,1275,7,180,1778
55027,2005,7,139,2090,14,701,9117
55039,2005,16,256,4255,11,1059,10626
55055,2005,8,39,393,14,645,9009
55059,2005,11,87,1148,36,1636,25152
55075,2005,12,57,624,13,534,6307
55083,2005,7,54,769,9,256,3268
55097,2005,9,220,4056,9,533,6709
55107,2005,4,60,689,6,173,2087
55137,2005,4,50,733,8,232,2840
01001,2007,8,79,1143,4,276,3834
01003,2007,37,279,3957,23,1194,20882
01007,2007,4,37,582,7,145,2139
01015,2007,29,240,2938,31,953,12977
01017,2007,11,58,827,7,236,3383
01019,2007,9,38,534,4,137,1549
01021,2007,7,56,656,7,235,3598
01025,2007,17,139,1826,8,148,2120
01027,2007,6,35,364,3,132,1454
01031,2007,10,85,1058,6,170,2580
01039,2007,12,83,1058,9,281,4620
01045,2007,10,62,856,8,165,2303
01047,2007,12,150,1825,11,296,4754
01051,2007,14,132,1349,12,485,7579
01053,2007,13,97,1242,9,372,4333
01061,2007,8,55,580,11,247,2860
01063,2007,4,32,390,6,61,920
01069,2007,26,198,2495,16,571,10695
01071,2007,13,86,1195,16,273,3881
01073,2007,98,922,12962,135,6323,110267
01077,2007,27,178,2432,14,419,6709
01079,2007,7,41,657,7,136,1406
01081,2007,19,177,2238,14,864,13515
01089,2007,62,517,6747,35,1984,41269
01095,2007,23,172,2392,17,613,7115
01097,2007,89,745,9512,61,2701,38368
01099,2007,7,49,668,9,252,3550
01101,2007,37,357,4647,38,1780,31436
01103,2007,26,194,2455,22,676,11823
01109,2007,8,63,675,8,191,2892
01111,2007,6,38,503,4,80,1532
01113,2007,14,135,1740,13,469,5735
01117,2007,25,215,2671,24,1545,27650
01121,2007,21,165,2022,8,424,6215
01125,2007,32,241,3531,36,1409,24179
01131,2007,5,35,459,9,82,1283
02020,2007,5,53,1351,34,1642,48518
02050,2007,16,218,3344,21,382,5471
02122,2007,7,56,1187,25,772,21097
02180,2007,4,46,492,12,172,3815
02185,2007,3,18,256,9,155,3756
02270,2007,4,45,651,17,197,2658
04001,2007,9,69,1065,11,331,6419
04003,2007,28,210,2996,16,1107,21269
04005,2007,17,137,1697,20,1305,27558
04007,2007,9,52,681,7,489,10238
04009,2007,4,37,405,6,296,5888
04012,2007,5,28,378,8,218,3598
04013,2007,237,2501,38469,501,39026,714238
04015,2007,24,269,3991,24,1682,35089
04017,2007,21,159,2006,19,844,17604
04019,2007,68,682,10040,122,9347,177316
04021,2007,29,235,2953,34,2152,37142
04023,2007,19,111,1714,10,277,6749
04025,2007,25,219,3026,41,2444,48860
04027,2007,26,179,2168,37,1567,26352
05003,2007,9,49,847,6,197,2249
05005,2007,9,76,840,7,240,3505
05007,2007,28,242,4071,25,835,14286
05009,2007,7,58,599,5,216,2914
05023,2007,7,56,600,10,153,1656
05027,2007,4,31,405,5,110,2125
05031,2007,19,157,1981,22,563,8158
05033,2007,9,85,1133,10,201,3207
05035,2007,12,100,1048,14,362,5105
05041,2007,6,32,548,6,149,1750
05045,2007,17,153,1903,12,525,8232
05051,2007,21,171,2369,15,495,8849
05057,2007,4,31,427,7,121,2079
05061,2007,5,43,553,4,71,1036
05065,2007,6,42,448,4,108,1197
05069,2007,17,155,1928,15,516,8178
05091,2007,9,49,798,10,217,3383
05093,2007,13,122,1538,14,340,4706
05103,2007,4,33,372,8,228,3258
05107,2007,7,42,460,8,110,1470
05109,2007,4,15,131,5,107,1367
05113,2007,6,26,492,7,57,812
05115,2007,14,123,1303,8,421,6328
05119,2007,53,545,7748,73,2764,50504
05123,2007,6,52,478,7,140,1589
05125,2007,19,123,1577,14,355,5976
05131,2007,19,231,2967,20,524,9630
05139,2007,9,70,786,9,282,4077
05149,2007,4,19,168,6,94,1133
06001,2007,62,762,11663,364,11487,320073
06007,2007,11,166,2132,50,1833,48474
06013,2007,53,665,9083,181,8804,249730
06015,2007,4,23,234,9,282,5844
06017,2007,9,72,1070,33,1666,50270
06019,2007,55,750,8052,215,5090,130045
06023,2007,20,154,1726,46,1512,33292
06025,2007,21,175,2307,40,1075,22984
06027,2007,6,41,719,6,169,4524
06029,2007,53,634,8102,190,5214,129751
06031,2007,8,60,829,30,744,19172
06033,2007,4,34,384,24,682,15932
06037,2007,699,7742,143282,2084,73636,1860327
06039,2007,7,88,1442,30,868,23502
06041,2007,14,122,2561,64,3017,95980
06045,2007,12,92,1122,51,1393,35061
06047,2007,8,142,1940,58,1338,31354
06051,2007,3,25,325,6,140,4163
06053,2007,26,266,4276,114,2930,84792
06057,2007,5,37,556,25,1102,30938
06059,2007,159,1946,31177,530,24667,643350
06061,2007,18,184,2372,55,3356,100090
06065,2007,86,1106,17336,330,14677,379442
06067,2007,66,1132,16496,255,10766,297228
06071,2007,98,1447,23161,301,13266,321155
06073,2007,156,1896,33610,574,22641,570271
06075,2007,40,299,6020,311,6376,168456
06077,2007,25,560,7475,156,4668,132709
06079,2007,17,149,2017,60,2533,64764
06081,2007,29,438,9314,171,6478,188565
06083,2007,28,322,5413,105,3486,95134
06085,2007,81,803,13013,345,14379,386183
06087,2007,10,100,1638,64,2451,67359
