GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop_2010,FD_num_2010,FD_pct_2010
8069,2010,8,79,1254,30,2084,56966,299630,67259,22.45
8087,2010,5,27,477,5,151,3206,28159,3336,11.85
8099,2010,4,79,3028,4,84,1849,12551,3793,30.22
8123,2010,17,116,2281,32,1163,30658,252825,38751,15.33
9001,2010,41,223,4123,205,9384,261112,916829,262579,28.64
9003,2010,75,740,13969,211,9714,227932,894014,281196,31.45
9005,2010,9,64,1376,43,2231,52015,189927,30056,15.83
9007,2010,10,112,2412,38,1568,41622,165676,55378,33.43
9009,2010,67,581,11760,187,8180,190181,862477,252394,29.26
9011,2010,23,255,5339,46,2540,58935,274055,78554,28.66
9013,2010,5,31,716,24,1499,31720,152691,50030,32.77
10001,2010,21,217,3362,17,873,17765,162310,31140,19.19
10003,2010,42,388,6200,84,4088,102356,538479,164990,30.64
10005,2010,42,348,5512,49,1610,37448,197145,34073,17.28
11001,2010,24,140,2959,174,4432,123025,601723,16971,2.82
12001,2010,24,200,3680,46,3065,56618,247336,49066,19.84
12003,2010,4,32,513,7,164,2954,27115,9154,33.76
12011,2010,136,962,16979,368,16609,361122,1748066,196467,11.24
12019,2010,21,161,2470,27,1506,29223,190865,44093,23.1
12021,2010,17,145,2686,59,3241,80238,321520,90021,28.0
12027,2010,3,25,367,5,164,3187,34862,3913,11.22
12031,2010,106,961,15816,200,7247,149231,864263,215253,24.91
12033,2010,44,333,5737,49,1612,33126,297619,118775,39.91
12055,2010,13,111,1617,19,729,14159,98786,36950,37.4
12057,2010,105,892,15263,283,10553,211055,1229226,309584,25.19
12063,2010,16,104,1691,7,219,3973,49746,3390,6.81
12071,2010,50,406,7758,116,5872,131703,618754,173208,27.99
12075,2010,10,60,1050,10,311,5127,40801,3954,9.69
12079,2010,6,43,552,3,138,2761,19224,4279,22.26
12081,2010,35,259,4413,58,2924,60217,322833,74392,23.04
12086,2010,289,1303,24345,605,20952,432236,2496435,162697,6.52
12095,2010,102,815,14661,236,8992,189551,1145956,224405,19.58
12101,2010,49,394,6039,71,3873,75251,464697,103438,22.26
12103,2010,93,734,12152,189,9508,191130,916542,160837,17.55
12107,2010,15,103,1828,12,493,9101,74364,18371,24.7
12115,2010,26,225,3613,72,3936,84424,379448,105119,27.7
12119,2010,9,55,845,16,605,12149,93420,9896,10.59
12121,2010,6,52,794,8,206,4119,41551,7180,17.28
13009,2010,10,78,1287,10,286,5159,45720,8230,18.0
13017,2010,3,27,404,4,103,1563,17634,3939,22.34
13021,2010,30,310,4823,42,1319,28246,155547,35466,22.8
13031,2010,11,93,1454,7,267,4280,70217,10800,15.38
13033,2010,4,29,409,3,112,1717,23316,2235,9.59
13039,2010,7,41,701,6,271,4959,50513,18301,36.23
13045,2010,24,185,3023,24,922,17126,110527,27518,24.9
13051,2010,29,288,4644,49,2002,40709,265128,52409,19.77
13059,2010,13,109,1902,19,895,19198,116714,42684,36.57
13063,2010,34,276,4335,47,1355,28496,259424,102802,39.63
13071,2010,12,99,1335,12,188,3664,45498,8478,18.63
13085,2010,4,28,410,4,260,5391,22330,0,0.0
13089,2010,70,616,9872,145,5980,123892,691893,181655,26.25
13091,2010,5,33,552,9,122,1951,21796,440,2.02
13095,2010,21,223,3324,24,844,14453,94565,39406,41.67
13099,2010,6,34,591,5,106,1625,11008,1070,9.72
13103,2010,8,58,943,5,215,3662,52250,6349,12.15
13107,2010,7,47,715,6,92,1338,22598,6645,29.41
13111,2010,8,65,1017,10,272,4786,23682,28,0.12
13113,2010,6,62,1042,14,1123,24847,106567,42925,40.28
13119,2010,9,59,881,7,174,2876,22084,715,3.24
13127,2010,15,132,1940,21,693,14478,79626,21864,27.46
13131,2010,7,42,718,3,116,2096,25011,2634,10.53
13135,2010,58,438,7042,151,6135,141631,805321,260733,32.38
13137,2010,13,95,1642,7,358,6208,43041,9084,21.11
13139,2010,19,147,2487,36,1352,29578,179684,51370,28.59
13143,2010,6,27,398,6,91,1437,28780,1099,3.82
13147,2010,4,28,392,5,177,2910,25213,832,3.3
13151,2010,23,192,2921,28,1439,30620,203922,70656,34.65
13153,2010,20,145,2401,23,1014,20397,139900,50674,36.22
13157,2010,10,60,932,8,487,10409,60485,584,0.97
13163,2010,10,62,873,7,213,3426,16930,336,1.99
13175,2010,15,116,1866,11,418,7215,48434,4791,9.89
13179,2010,10,91,1496,8,211,3569,63453,24802,39.09
13185,2010,21,186,3095,13,623,12246,109233,22947,21.01
13199,2010,8,58,886,7,184,3019,21992,321,1.46
13215,2010,31,330,5954,39,1376,29886,189885,62464,32.9
13217,2010,14,118,1889,18,740,14918,99958,25557,25.57
13227,2010,6,34,571,6,297,5748,29431,1813,6.16
13233,2010,8,67,1060,7,227,5075,41475,4735,11.42
13245,2010,38,366,5167,35,1210,22144,200549,67308,33.56
13247,2010,10,83,1516,21,816,17452,85215,39854,46.77
13251,2010,4,39,470,3,119,1643,14593,3131,21.45
13253,2010,3,27,424,4,85,1252,8729,641,7.34
13255,2010,10,132,1817,12,479,8677,64073,10916,17.04
13261,2010,10,76,1024,8,214,3569,32819,7427,22.63
13273,2010,3,26,377,4,86,1347,9315,116,1.25
13275,2010,13,130,1811,7,296,5725,44720,12043,26.93
13277,2010,12,91,1344,7,185,3453,40118,3927,9.79
13279,2010,8,67,1009,6,180,2505,27223,4540,16.68
13293,2010,4,34,476,9,175,2552,27153,4930,18.15
13297,2010,10,73,1157,8,498,9687,83768,15470,18.47
13303,2010,3,25,345,3,104,1525,21187,5635,26.6
15001,2010,10,97,1273,38,1897,46883,185079,68849,37.2
15009,2010,8,42,908,40,1746,44144,154834,55755,36.01
16005,2010,8,54,1034,9,378,8069,82839,25194,30.41
16017,2010,5,39,663,13,281,6123,40877,7651,18.72
16027,2010,16,204,3266,21,714,16409,188923,39744,21.04
16055,2010,7,70,1019,18,882,19929,138494,34524,24.93
16069,2010,3,68,1223,10,373,9029,39265,6993,17.81
16083,2010,9,153,2026,17,545,11543,77230,7226,9.36
17019,2010,13,196,3290,32,1346,22546,201081,29430,14.64
17021,2010,5,42,742,9,226,3429,34800,3502,10.06
17029,2010,8,78,1106,5,272,3613,53873,7996,14.84
17031,2010,445,2913,52913,1463,39767,857910,5194675,415200,7.99
17043,2010,43,354,6503,174,7778,165860,916924,250485,27.32
17049,2010,7,36,649,8,336,5165,34242,5860,17.11
17053,2010,5,71,1252,3,148,2031,14081,2583,18.35
17073,2010,8,135,2232,14,242,3709,50486,9452,18.72
17077,2010,6,58,846,11,455,9573,60218,14240,23.65
17089,2010,28,402,6475,79,3463,69011,515269,101403,19.68
17097,2010,43,297,5347,124,5204,109666,703462,254430,36.17
17099,2010,15,254,4300,25,1009,17283,113924,26677,23.42
17103,2010,5,35,485,6,139,2089,36031,3793,10.53
17107,2010,7,53,1009,4,142,2781,30305,9652,31.85
17109,2010,5,112,1467,5,339,5859,32612,9394,28.81
17111,2010,19,264,4364,50,1961,37395,308760,133011,43.08
17113,2010,14,179,3302,28,1055,20207,169572,46403,27.36
17115,2010,16,188,3359,14,490,10827,110768,33167,29.94
17119,2010,30,287,5281,50,2035,42417,269282,85509,31.75
17121,2010,7,70,1356,6,153,2408,39437,10003,25.36
17137,2010,5,76,1026,5,168,2637,35547,8930,25.12
17143,2010,21,225,4453,47,1214,28845,186494,55265,29.63
17145,2010,4,21,316,4,119,2497,22350,4609,20.62
17163,2010,30,252,4232,43,1553,34862,270056,112883,41.8
17173,2010,4,11,248,4,104,1301,22363,3527,15.77
17183,2010,17,296,5097,14,546,8633,81625,14337,17.56
17189,2010,5,53,1119,8,88,1329,14716,1629,11.07
17197,2010,35,281,4915,93,4260,83837,677560,242455,35.78
17201,2010,37,433,7629,54,2043,49656,295266,72887,24.69
18001,2010,6,34,566,6,169,2991,34387,2455,7.14
18017,2010,7,64,884,8,238,3929,38966,1592,4.09
18019,2010,19,151,2541,20,632,11985,110232,23781,21.57
18023,2010,5,40,622,7,128,1844,33224,1331,4.01
18029,2010,6,50,739,6,238,5000,50047,13205,26.39
18033,2010,8,30,599,8,224,4751,42223,11734,27.79
18039,2010,23,189,2843,37,1359,26008,197559,38971,19.73
18045,2010,6,49,812,4,225,2811,17240,643,3.73
18047,2010,4,45,631,10,169,2141,23087,2095,9.07
18051,2010,7,55,733,6,215,2914,33503,3461,10.33
18053,2010,11,91,1459,7,305,4735,70061,14392,20.54
18057,2010,12,91,1749,36,2024,39206,274569,95377,34.74
18063,2010,12,100,1695,11,593,12615,145448,53660,36.89
18065,2010,6,56,697,9,202,3938,49462,2249,4.55
18067,2010,15,116,1717,11,444,9069,82752,25625,30.97
18077,2010,6,59,910,7,160,3241,32428,4773,14.72
18081,2010,14,91,1388,10,581,11073,139654,42603,30.51
18085,2010,14,103,1617,12,404,7673,77358,17486,22.6
18087,2010,6,59,1204,7,155,2910,37128,522,1.41
18089,2010,58,500,7859,80,3706,74117,496005,138588,27.94
18091,2010,15,105,1550,18,657,11441,111467,20849,18.7
18095,2010,17,154,2521,24,875,15866,131636,32821,24.93
18097,2010,112,923,15627,146,5255,112461,903393,226700,25.09
18099,2010,10,64,865,11,276,4999,47051,7428,15.79
18105,2010,10,80,1338,21,1143,21041,137974,27358,19.83
18107,2010,6,68,922,7,255,5184,38124,4577,12.01
18109,2010,8,64,997,10,453,8584,68894,12320,17.88
18123,2010,3,23,341,4,98,1178,19338,5305,27.43
18127,2010,10,81,1191,14,827,15346,164343,63748,38.79
18137,2010,7,40,665,10,347,5595,28818,732,2.54
18151,2010,8,86,837,6,98,1223,34185,7252,21.21
18163,2010,27,189,3408,34,1308,25458,179703,35571,19.79
18167,2010,18,168,3087,17,750,14921,107848,29116,27.0
18169,2010,5,41,559,5,186,3141,32888,2760,8.39
18175,2010,7,32,585,6,203,2348,28262,2753,9.74
19005,2010,3,40,719,5,215,3049,14330,2728,19.04
19013,2010,13,175,2818,22,1382,24025,131090,31222,23.82
19037,2010,3,41,789,3,105,1184,12439,1835,14.75
19045,2010,10,168,2987,8,498,8492,49116,10207,20.78
19049,2010,7,77,1280,8,860,16906,66135,3414,5.16
19061,2010,11,181,3103,14,1342,21337,93653,18161,19.39
19097,2010,4,47,760,4,124,1823,19848,4068,20.5
19125,2010,6,62,888,6,357,5903,33309,4678,14.04
19127,2010,6,75,1534,8,427,7637,40648,9547,23.49
19141,2010,4,47,872,7,222,3039,14398,3105,21.57
19153,2010,28,231,4166,64,5505,102413,430640,87818,20.39
19155,2010,9,89,1205,12,917,17214,93158,35079,37.66
19187,2010,4,54,664,5,384,7045,38013,8414,22.14
19189,2010,4,60,881,3,150,1835,10866,1920,17.67
19197,2010,4,37,537,5,177,2161,13229,887,6.71
20005,2010,3,25,469,3,107,1169,16924,3503,20.7
20021,2010,6,39,607,4,85,1065,21603,3501,16.21
20057,2010,5,43,838,5,151,2227,33848,10833,32.01
20091,2010,24,225,3232,63,5401,113607,544179,119671,21.99
20121,2010,6,70,1165,3,207,3567,32787,3482,10.62
20131,2010,5,51,868,7,221,2275,10178,1537,15.11
20155,2010,8,80,1980,13,472,8128,64511,17367,26.92
20159,2010,4,50,885,5,84,1178,10083,1886,18.71
20177,2010,15,126,2155,28,1452,24564,177934,47825,26.88
20209,2010,19,143,2616,22,736,15991,157505,48750,30.95
21003,2010,5,50,810,4,82,1272,19956,246,1.23
21009,2010,16,128,1677,10,207,2719,42173,3266,7.74
21013,2010,10,69,1282,10,334,5910,28691,5967,20.8
21017,2010,3,22,319,4,116,1579,19985,1505,7.53
21019,2010,9,80,1354,9,386,7484,49542,13022,26.28
21021,2010,11,103,1674,7,198,4094,28432,6698,23.56
21037,2010,11,88,1592,17,955,20631,90336,27900,30.88
21045,2010,3,37,697,8,84,1185,15955,968,6.07
21067,2010,26,188,3248,51,2317,52404,295803,45675,15.44
21085,2010,8,48,778,6,60,833,25746,5883,22.85
21095,2010,11,60,1089,9,309,5405,29278,5086,17.37
21111,2010,80,719,13351,137,5903,132203,741096,131566,17.75
21117,2010,14,125,1899,25,1221,24490,159720,52175,32.67
21123,2010,5,43,840,4,70,1014,14193,211,1.49
21125,2010,16,104,2022,13,339,7770,58849,6537,11.11
21127,2010,5,30,435,3,125,1746,15860,1775,11.19
21133,2010,7,41,623,7,222,3410,24519,0,0.0
21155,2010,4,24,397,3,146,2584,19820,468,2.36
21161,2010,5,41,732,6,174,4128,17490,2176,12.44
21173,2010,6,50,857,5,161,3834,26499,5751,21.7
