GeoID,County,State,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop_2011,D_Cap,G_Cap,FD_num_2011,FD_pct_2011
1001,Autauga County,Alabama,2011,9,78,1325,5,269,4670,55208,6134,11041,17035,30.86
1009,Blount County,Alabama,2011,11,70,1077,7,106,2057,57554,5232,8222,12578,21.85
1015,Calhoun County,Alabama,2011,30,221,3701,24,723,12541,117797,3926,4908,24557,20.85
1021,Chilton County,Alabama,2011,10,62,1080,7,215,4235,43687,4368,6241,7500,17.17
1041,Crenshaw County,Alabama,2011,5,41,659,6,95,1702,13899,2779,2316,-3655,-26.3
1043,Cullman County,Alabama,2011,25,181,2792,13,426,6670,80401,3216,6184,22837,28.4
1045,Dale County,Alabama,2011,10,78,1087,8,144,2682,50112,5011,6264,10756,21.46
1047,Dallas County,Alabama,2011,13,117,1450,8,248,5080,43256,3327,5407,12470,28.83
1051,Elmore County,Alabama,2011,15,115,1612,7,322,5836,80009,5333,11429,23798,29.74
1053,Escambia County,Alabama,2011,14,124,1637,6,247,4032,38201,2728,6366,14043,36.76
1055,Etowah County,Alabama,2011,25,230,3230,17,452,9137,104358,4174,6138,26021,24.93
1061,Geneva County,Alabama,2011,7,52,987,11,234,3410,26759,3822,2432,-301,-1.12
1069,Houston County,Alabama,2011,31,221,3483,16,832,17278,102470,3305,6404,27894,27.22
1071,Jackson County,Alabama,2011,12,77,1295,11,217,3749,53209,4434,4837,7818,14.69
1073,Jefferson County,Alabama,2011,98,1047,15288,102,4680,93733,657973,6714,6450,122097,18.56
1087,Macon County,Alabama,2011,4,46,621,5,132,2044,21281,5320,4256,4670,21.94
1089,Madison County,Alabama,2011,57,493,8243,38,2314,46629,339527,5956,8934,63039,18.57
1091,Marengo County,Alabama,2011,8,64,1015,5,116,2428,20651,2581,4130,822,3.98
1095,Marshall County,Alabama,2011,22,196,2683,22,579,8199,93892,4267,4267,24325,25.91
1097,Mobile County,Alabama,2011,96,913,12720,59,2359,45065,413242,4304,7004,114698,27.76
1099,Monroe County,Alabama,2011,10,75,1336,6,145,2136,22796,2279,3799,1196,5.25
1101,Montgomery County,Alabama,2011,39,416,5893,35,1465,28597,229168,5876,6547,50678,22.11
1103,Morgan County,Alabama,2011,27,210,3183,19,616,12551,120013,4444,6316,25918,21.6
1107,Pickens County,Alabama,2011,10,77,1256,4,141,1979,19354,1935,4838,3178,16.42
1111,Randolph County,Alabama,2011,6,40,624,4,122,1964,22743,3790,5685,3672,16.15
1113,Russell County,Alabama,2011,15,157,2146,8,335,5666,54831,3655,6853,18245,33.27
1115,St. Clair County,Alabama,2011,18,129,2120,12,276,5038,83963,4664,6996,16352,19.48
